"dpto","nombre","desercion","cobertura"
"17","Caldas",3.5455555556,80.0037037037
"91","Amazonas",3.67,58.0727272727
"50","Meta",5.2282758621,87.9493103448
"25","Cundinamarca",3.1106896552,83.5305172414
"73","Tolima",3.159787234,87.5431914894
"05","Antioquia",3.61416,81.7448
"08","Atlántico",2.5456521739,81.5656521739
"13","Bolívar",3.4797826087,87.2332608696
"20","Cesar",5.3812,83.4484
"47","Magdalena",3.0026666667,86.5423333333
"70","Sucre",3.1111538462,87.9576923077
"23","Córdoba",3.6486666667,81.1273333333
"44","La Guajira",3.294,84.574
"27","Chocó",2.6356666667,85.232
"76","Valle del Cauca",5.6873809524,71.89
"54","Norte de Santander",3.48575,78.5625
"63","Quindío",4.1883333333,92.1666666667
"99","Vichada",6.3525,92.8125
"97","Vaupés",4.1366666667,37.71
"68","Santander",2.7465517241,81.6814942529
"66","Risaralda",5.3071428571,84.74
"86","Putumayo",5.9238461538,78.8130769231
"52","Nariño",1.99578125,73.16375
"95","Guaviare",4.6875,61.175
"94","Guainía",3.915,66.52625
"11","Bogota Capital District",2.49,90.6
"81","Arauca",4.9642857143,85.6471428571
"15","Boyacá",2.1629268293,80.5136585366
"85","Casanare",4.27,79.8563157895
"19","Cauca",3.179047619,75.0230952381
"18","Caquetá",6.733125,74.14875
"41","Huila",4.0810810811,82.9310810811
"88","Archipiélago de San Andrés, Providencia y Santa Catalina",1.71,87.135
