"x","y","zinc","dist","elev"
181072,333611,1022,0.00135803,7.909
181025,333558,1141,0.0122243,6.983
181165,333537,640,0.103029,7.8
181298,333484,257,0.190094,7.655
181307,333330,269,0.27709,7.48
181390,333260,281,0.364067,7.791
181165,333370,346,0.190094,8.217
181027,333363,406,0.0921516,8.49
181060,333231,347,0.184614,8.668
181232,333168,183,0.309702,9.049
181191,333115,189,0.315116,9.015
181032,333031,251,0.228123,9.073
180874,333339,1096,0,7.32
180969,333252,504,0.113932,8.815
181011,333161,326,0.168336,8.937
180830,333246,1032,0,7.702
180763,333104,606,0.0122243,7.16
180694,332972,711,0.0122243,7.1
180625,332847,735,0,7.02
180555,332707,1052,0,6.86
180642,332708,673,0.0703468,8.908
180704,332717,402,0.0975136,8.99
180704,332664,343,0.113932,8.83
181153,332925,218,0.342321,9.02
181147,332823,200,0.385804,8.976
181167,332778,194,0.429289,8.973
181008,332777,207,0.315116,8.507
180973,332687,180,0.320574,8.743
180916,332753,240,0.249863,8.973
181352,332946,180,0.489064,9.043
181133,332570,208,0.472778,8.688
180878,332489,198,0.287957,8.727
180829,332450,250,0.271622,8.328
180954,332399,192,0.385807,7.971
180956,332318,213,0.418417,7.809
180710,332330,321,0.244474,6.986
180632,332445,569,0.135709,7.756
180530,332538,833,0.0484965,7.784
180478,332578,906,0,7
180383,332476,1454,0.00135803,6.92
180494,332330,298,0.135709,7.516
180561,332193,167,0.26622,8.18
180451,332175,176,0.211843,8.694
180410,332031,258,0.320572,9.28
180355,332299,746,0.081222,7.94
180292,332157,746,0.190086,6.36
180283,332014,464,0.287941,7.78
180282,331861,365,0.423826,8.18
180270,331707,282,0.554289,9.42
180199,331591,375,0.603225,8.867
180135,331552,222,0.614071,8.292
180237,332351,812,0.00135803,8.06
180103,332297,1548,0,7.98
179973,332255,1839,0.0054321,7.9
179826,332217,1528,0.0054321,7.74
179687,332161,933,0.0054321,7.552
179792,332035,432,0.146578,7.76
179902,332113,550,0.135684,6.74
180100,332213,1571,0.0703333,6.68
179604,332059,1190,0.0484831,7.4
179526,331936,907,0.0054321,7.44
179495,331770,761,0.0054321,7.36
179489,331633,659,0.0316663,7.2
179414,331494,643,0.0122243,7.22
179334,331366,801,0.0122243,7.36
179255,331264,784,0.0373395,5.18
179470,331125,1060,0.211846,5.8
179692,330933,119,0.451037,7.64
179852,330801,778,0.575877,6.32
179140,330955,703,0.0756869,5.76
179128,330867,676,0.12481,6.48
179065,330864,793,0.103024,6.48
179007,330727,685,0.157469,6.32
179110,330758,593,0.200976,6.32
179032,330645,549,0.200976,6.16
179095,330636,680,0.26622,6.56
179058,330510,539,0.298835,6.9
178810,330666,560,0.0812247,7.54
178912,330779,1136,0.070355,6.42
178981,330924,1383,0.0122243,6.28
179076,331005,1161,0,6.34
180151,330353,1672,0.0537723,7.307
179211,331175,765,0.0593662,5.7
181118,333214,279,0.211843,7.72
179474,331304,241,0.12481,7.932
179559,331423,317,0.12481,7.82
179022,330873,545,0.0921516,8.575
178953,330742,505,0.113941,8.536
178875,330516,420,0.179216,8.504
178803,330349,332,0.233596,8.659
179029,330394,400,0.336861,7.633
178605,330406,553,0.070355,8.538
178701,330557,577,0.0593662,7.68
179547,330245,155,0.255341,7.564
179301,330179,224,0.364067,7.76
179405,330567,180,0.429295,7.653
179462,330766,226,0.380328,7.951
179293,330797,186,0.249874,8.176
179180,330710,198,0.266212,8.468
179206,330398,187,0.451037,8.41
179618,330458,199,0.30971,7.61
179782,330540,157,0.293359,7.792
179980,330773,203,0.532351,8.76
180067,331185,143,0.619513,9.879
180162,331387,136,0.684725,9.097
180451,331473,117,0.809742,9.095
180328,331158,113,0.880389,9.717
180276,330963,130,0.749591,9.924
180114,330803,192,0.575752,9.404
179881,330912,240,0.581484,10.52
179774,330921,221,0.49452,8.84
179657,331150,140,0.32058,8.472
179731,331245,128,0.336851,9.634
179717,331441,166,0.249852,9.206
179446,331422,191,0.0756869,8.47
179524,331565,232,0.0756869,8.463
179644,331730,203,0.162853,9.691
180321,330366,722,0.0974916,8.704
180162,331837,210,0.440142,9.42
180029,331720,198,0.4619,9.573
179797,331919,139,0.222701,9.555
179642,331955,253,0.103024,8.779
179849,332142,703,0.0921353,8.54
180265,332297,832,0.0484884,8.809
180107,332101,262,0.168331,9.523
180462,331947,142,0.38581,9.811
180478,331822,119,0.489064,9.604
180347,331700,152,0.57602,9.732
180862,333116,415,0.0812194,9.518
180700,332882,474,0.0373369,9.72
180201,331160,126,0.771698,9.036
180173,331923,210,0.336829,9.528
180923,332874,220,0.228123,9.155
180467,331694,133,0.597761,10.08
179917,331325,141,0.44558,9.97
179822,331242,158,0.396675,10.136
179991,331069,129,0.581478,10.32
179120,330578,206,0.287966,9.041
179034,330561,451,0.233596,7.86
179085,330433,296,0.364067,8.741
179236,330046,189,0.331454,7.822
179456,330072,154,0.211846,7.78
179550,329940,169,0.103029,8.121
179445,329807,403,0.070355,8.231
179337,329870,471,0.146576,8.351
179245,329714,612,0.0537723,7.3
179024,329733,601,0.119286,7.536
178786,329822,783,0.0921435,7.706
179135,329890,258,0.249863,8.07
179030,330082,214,0.37494,8.226
179184,330182,166,0.423837,8.128
179085,330292,496,0.423837,8.577
178875,330311,342,0.27709,8.429
179466,330381,162,0.358606,9.406
180627,330190,375,0.0122243,8.261
