"tipo","etiqueta","x","y"
"muerte","1",13.58801,11.0956
"muerte","2",9.878124,12.55918
"muerte","3",14.65398,10.18044
"muerte","4",15.22057,9.993003
"muerte","5",13.16265,12.96319
"muerte","6",13.80617,8.889046
"muerte","7",13.10214,10.56081
"muerte","8",11.00403,11.86713
"muerte","9",15.15475,11.70451
"muerte","10",11.12639,9.643859
"muerte","11",11.7104,13.59038
"muerte","12",12.34107,11.48214
"muerte","13",10.58664,11.86681
"muerte","14",14.56957,10.57711
"muerte","15",16.56765,14.32268
"muerte","16",9.511439,10.67225
"muerte","17",13.33699,10.70585
"muerte","18",15.03486,10.19459
"muerte","19",15.13973,10.04012
"muerte","20",10.87104,9.823215
"muerte","21",12.54631,11.9826
"muerte","22",11.82367,11.7979
"muerte","23",12.19227,10.38389
"muerte","24",13.87589,12.75045
"muerte","25",12.30798,11.85122
"muerte","26",10.97379,11.85359
"muerte","27",10.98912,9.759229
"muerte","28",13.50803,13.34022
"muerte","29",10.80653,11.66098
"muerte","30",12.20569,13.64252
"muerte","31",13.89933,13.98826
"muerte","32",12.51938,11.61548
"muerte","33",15.74902,12.65131
"muerte","34",12.85563,9.896143
"muerte","35",12.98866,10.1677
"muerte","36",13.6861,11.40649
"muerte","37",13.08889,11.11662
"muerte","38",13.42064,11.08226
"muerte","39",14.75734,9.368398
"muerte","40",13.205,13.16882
"muerte","41",9.847669,12.53263
"muerte","42",12.53966,12.00474
"muerte","43",13.40522,10.24531
"muerte","44",14.43222,11.61986
"muerte","45",15.98592,14.18579
"muerte","46",10.8983,12.01404
"muerte","47",12.54032,13.41382
"muerte","48",15.84175,12.38042
"muerte","49",16.54906,14.34902
"muerte","50",11.19962,8.586758
"muerte","51",15.77734,12.17214
"muerte","52",11.01652,9.782825
"muerte","53",11.68324,13.5818
"muerte","54",11.54616,12.27906
"muerte","55",11.79539,15.07723
"muerte","56",13.04533,13.88243
"muerte","57",14.14244,13.1333
"muerte","58",14.84649,10.01118
"muerte","59",12.58271,11.01057
"muerte","60",14.63834,12.92149
"muerte","61",12.47289,11.21463
"muerte","62",14.4973,8.744322
"muerte","63",9.224811,10.83608
"muerte","64",17.93893,7.189272
"muerte","65",11.17129,14.73371
"muerte","66",9.487955,10.70568
"muerte","67",10.80275,9.933474
"muerte","68",16.06981,14.11234
"muerte","69",10.38257,10.56815
"muerte","70",13.68547,8.984794
"muerte","71",15.80461,13.92831
"muerte","72",12.17318,11.80932
"muerte","73",11.49627,10.73456
"muerte","74",15.40609,11.19265
"muerte","75",15.91103,12.20705
"muerte","76",10.1881,11.91827
"muerte","77",14.0004,12.77549
"muerte","78",16.54684,11.39338
"muerte","79",17.51501,11.22888
"muerte","80",13.77803,8.864945
"muerte","81",14.11088,10.56043
"muerte","82",14.68581,11.45555
"muerte","83",12.57377,13.43932
"muerte","84",11.70552,10.36466
"muerte","85",14.36912,12.55025
"muerte","86",15.21281,16.9593
"muerte","87",15.81613,13.89809
"muerte","88",13.89643,12.72108
"muerte","89",15.18307,11.5893
"muerte","90",13.17116,12.932
"muerte","91",12.65285,11.26382
"muerte","92",15.13931,13.20189
"muerte","93",12.8446,11.61027
"muerte","94",13.55442,13.17523
"muerte","95",14.02949,13.07497
"muerte","96",15.43982,13.27819
"muerte","97",14.84585,14.86907
"muerte","98",10.27732,11.36702
"muerte","99",10.52977,11.62937
"muerte","100",9.933102,12.30593
"muerte","101",14.15951,9.238947
"muerte","102",13.61841,12.54927
"muerte","103",14.95599,9.839847
"muerte","104",15.69362,12.38079
"muerte","105",9.200059,11.97217
"muerte","106",16.83013,11.39388
"muerte","107",13.31452,10.31512
"muerte","108",10.56304,11.58176
"muerte","109",8.311067,7.202524
"muerte","110",13.39306,13.03761
"muerte","111",14.51838,8.716039
"muerte","112",16.80886,11.42717
"muerte","113",14.71134,11.91757
"muerte","114",10.31367,11.38647
"muerte","115",13.15651,11.15159
"muerte","116",9.083952,13.21588
"muerte","117",15.19022,9.974836
"muerte","118",8.436085,7.393596
"muerte","119",15.34814,9.820333
"muerte","120",13.31339,12.3789
"muerte","121",13.23216,9.731717
"muerte","122",12.55331,11.54684
"muerte","123",13.89099,10.95253
"muerte","124",13.49273,12.51423
"muerte","125",15.24806,16.97276
"muerte","126",11.58812,11.09262
"muerte","127",9.442908,10.76749
"muerte","128",11.36395,9.602994
"muerte","129",11.15694,14.775
"muerte","130",11.89653,10.2304
"muerte","131",15.01308,10.21483
"muerte","132",13.61045,11.49483
"muerte","133",14.1069,13.60306
"muerte","134",10.46296,11.20981
"muerte","135",10.30772,9.4627
"muerte","136",13.77892,12.69592
"muerte","137",13.41328,12.42838
"muerte","138",12.56326,11.04593
"muerte","139",15.66159,13.93562
"muerte","140",13.83545,8.909176
"muerte","141",13.22668,12.33923
"muerte","142",15.11869,10.0674
"muerte","143",13.24604,10.51404
"muerte","144",14.62721,11.42144
"muerte","145",14.38883,10.29258
"muerte","146",15.02184,14.11212
"muerte","147",13.14793,10.59459
"muerte","148",13.39042,8.81647
"muerte","149",11.77328,9.525179
"muerte","150",16.04067,14.35417
"muerte","151",10.62561,10.92979
"muerte","152",14.55994,10.6003
"muerte","153",9.327332,12.16842
"muerte","154",14.50837,11.50046
"muerte","155",10.52485,12.31847
"muerte","156",13.9858,12.80076
"muerte","157",10.55035,11.602
"muerte","158",10.64812,11.70659
"muerte","159",15.7345,6.090047
"muerte","160",11.8024,11.16029
"muerte","161",11.76803,10.26851
"muerte","162",11.57369,11.1289
"muerte","163",15.76205,14.02013
"muerte","164",10.6587,11.67938
"muerte","165",13.40605,13.28477
"muerte","166",11.24757,11.45161
"muerte","167",15.53659,12.76087
"muerte","168",14.02418,10.70804
"muerte","169",13.39872,12.45665
"muerte","170",14.57784,16.18932
"muerte","171",15.32621,13.43324
"muerte","172",14.47304,8.777501
"muerte","173",11.39957,9.887847
"muerte","174",12.48731,11.17735
"muerte","175",13.78123,11.1606
"muerte","176",10.56813,11.02786
"muerte","177",10.53582,11.01035
"muerte","178",14.75957,10.75233
"muerte","179",14.2318,12.04069
"muerte","180",13.34694,11.97577
"muerte","181",10.43855,11.80709
"muerte","182",12.51876,10.58196
"muerte","183",14.99982,11.99344
"muerte","184",10.64479,9.882927
"muerte","185",13.12517,11.13206
"muerte","186",10.0868,11.47022
"muerte","187",11.2153,11.4361
"muerte","188",12.9097,11.73742
"muerte","189",12.17253,9.965585
"muerte","190",12.44094,11.28124
"muerte","191",11.9171,10.20203
"muerte","192",11.47169,11.38392
"muerte","193",11.65302,13.57026
"muerte","194",12.45562,11.50935
"muerte","195",14.77868,12.31298
"muerte","196",14.018,12.74917
"muerte","197",12.50406,13.39938
"muerte","198",9.217884,12.33342
"muerte","199",10.39745,11.306
"muerte","200",12.74603,9.155196
"muerte","201",9.105901,6.343998
"muerte","202",8.342558,7.136541
"muerte","203",15.31736,13.56758
"muerte","204",11.18297,11.41759
"muerte","205",11.78689,11.19158
"muerte","206",12.7135,11.30091
"muerte","207",11.76649,11.22997
"muerte","208",12.17855,13.63494
"muerte","209",12.68321,11.28437
"muerte","210",13.62292,13.38845
"muerte","211",8.812553,15.13408
"muerte","212",12.22264,11.33782
"muerte","213",16.18479,14.29076
"muerte","214",12.8446,11.61027
"muerte","215",13.60953,13.42772
"muerte","216",12.69358,10.21487
"muerte","217",15.025,11.85505
"muerte","218",13.91299,12.69277
"muerte","219",13.60802,9.07513
"muerte","220",12.47179,13.01132
"muerte","221",9.870624,12.40407
"muerte","222",17.5951,7.335869
"muerte","223",11.10299,11.11242
"muerte","224",16.66206,14.40429
"muerte","225",9.693037,11.00984
"muerte","226",13.40353,13.00439
"muerte","227",13.12842,10.58083
"muerte","228",13.7408,10.07836
"muerte","229",11.67779,11.12924
"muerte","230",13.14523,11.81876
"muerte","231",13.1237,11.84915
"muerte","232",12.29844,11.88042
"muerte","233",14.90404,12.763
"muerte","234",11.53711,12.58766
"muerte","235",12.87284,11.62384
"muerte","236",11.04585,11.23151
"muerte","237",15.77554,13.98787
"muerte","238",12.90019,10.33882
"muerte","239",12.31552,11.51159
"muerte","240",9.794394,11.77236
"muerte","241",12.65285,11.26382
"muerte","242",12.67759,12.0546
"muerte","243",15.9603,9.162499
"muerte","244",11.03126,11.87971
"muerte","245",14.08877,9.337553
"muerte","246",11.0271,11.74557
"muerte","247",14.54157,8.684826
"muerte","248",15.55098,11.28022
"muerte","249",9.579331,11.78081
"muerte","250",15.46573,11.09663
"muerte","251",14.44191,12.15951
"muerte","252",11.38291,9.910148
"muerte","253",13.74064,11.31248
"muerte","254",11.39099,11.03369
"muerte","255",16.01572,9.072348
"muerte","256",9.921976,11.86345
"muerte","257",10.80179,9.687121
"muerte","258",12.6326,11.62268
"muerte","259",9.262066,10.66323
"muerte","260",13.78464,13.81561
"muerte","261",13.75736,13.79555
"muerte","262",14.70788,9.969954
"muerte","263",15.29153,10.04976
"muerte","264",14.14686,12.42262
"muerte","265",13.76823,10.09442
"muerte","266",10.9726,11.34485
"muerte","267",12.36505,10.48427
"muerte","268",14.81631,10.04214
"muerte","269",15.04986,13.61393
"muerte","270",15.36158,13.45471
"muerte","271",12.793,14.31211
"muerte","272",11.324,9.79492
"muerte","273",10.45107,11.77685
"muerte","274",11.01349,11.211
"muerte","275",13.38261,9.455654
"muerte","276",10.33884,11.39608
"muerte","277",9.610787,11.80735
"muerte","278",14.54691,12.2733
"muerte","279",11.45123,11.4183
"muerte","280",12.74049,10.73864
"muerte","281",14.95969,11.96889
"muerte","282",12.31692,14.83151
"muerte","283",12.88335,10.78442
"muerte","284",15.2704,9.139883
"muerte","285",15.77505,9.566566
"muerte","286",13.06382,13.85009
"muerte","287",12.92922,11.70606
"muerte","288",15.28385,12.10795
"muerte","289",13.01865,11.78975
"muerte","290",12.45943,11.2489
"muerte","291",15.76892,12.95444
"muerte","292",14.03004,13.35564
"muerte","293",12.98116,14.37319
"muerte","294",13.8822,14.63515
"muerte","295",10.93752,9.725004
"muerte","296",16.02412,14.00992
"muerte","297",15.09569,10.09361
"muerte","298",13.46457,12.56776
"muerte","299",11.58543,12.29345
"muerte","300",10.69892,12.00221
"muerte","301",16.8394,11.6017
