"divipola","municipio","departamento","area_elipsoide_km2","area_3116_km2","area_9377_km2","area_3857_km2","lon_centroide","lat_centroide"
"05667","San Rafael","Antioquia",363.8345107732,363.9286554172,363.6931392342,370.7066096824,-74.9985940792,6.3107463369
"05670","San Roque","Antioquia",424.7601462691,424.8547933904,424.561159779,433.013108098,-74.9318521858,6.4486762438
"05674","San Vicente","Antioquia",230.3820152491,230.4911951914,230.3915229612,234.7331327856,-75.3274012955,6.3103859327
"05679","Santa B<U+00E1>rbara","Antioquia",196.0347834844,196.1697497457,196.118141782,199.4206913651,-75.5833016541,5.8789781172
"05697","El Santuario","Antioquia",83.416166221,83.4510919722,83.410968263,84.9322242821,-75.2521228129,6.1242094166
"05736","Segovia","Antioquia",1127.2084480879,1127.3160745575,1126.3070361826,1153.0209923072,-74.6216804055,7.2669330336
"05756","Sonson","Antioquia",1345.9863077651,1346.4024482082,1345.5877219478,1368.6711782862,-75.0593986557,5.7625366407
"05761","Sopetr<U+00E1>n","Antioquia",218.8872789847,219.0719133312,219.0368146199,223.2026339916,-75.7458142437,6.5201612603
"05789","T<U+00E1>mesis","Antioquia",252.0356362234,252.2397437824,252.1945362914,256.2054679129,-75.7098019648,5.6737535793
"05790","Taraz<U+00E1>","Antioquia",1148.3740221638,1148.9853728583,1148.5374317086,1175.8281846478,-75.4018597945,7.4888602434
"05792","Tarso","Antioquia",120.3669473906,120.4790608227,120.466729248,122.4423639542,-75.8287103189,5.8710639568
"05809","Titirib<U+00ED>","Antioquia",140.2195690123,140.3457880405,140.3286096753,142.7334685023,-75.7996602314,6.058349066
"05842","Uramita","Antioquia",265.5981491636,265.9379999645,265.9619736256,271.2672813767,-76.1331904862,6.913916948
"05854","Valdivia","Antioquia",567.4020334692,567.7026518223,567.4816826916,580.3875330492,-75.400954632,7.2653912987
"05856","Valpara<U+00ED>so","Antioquia",126.0823116947,126.1747577409,126.1456293206,128.1586901032,-75.6308339528,5.6519345857
"05858","Vegach<U+00ED>","Antioquia",524.8824949587,524.9565516175,524.5320808596,535.9122954138,-74.7540354735,6.8365400124
"05861","Venecia","Antioquia",139.5518635262,139.6743032898,139.6552344371,142.0013850004,-75.777224806,5.956576527
"05885","Yal<U+00ED>","Antioquia",440.7957230865,440.8583120076,440.5025334156,449.839347152,-74.7556582833,6.7168775128
"05887","Yarumal","Antioquia",737.832414936,738.2566671657,737.996104253,753.8179125771,-75.4544171031,6.988119923
"05890","Yolomb<U+00F3>","Antioquia",1012.2772151872,1012.5047376433,1011.7986891072,1032.7544752088,-74.9227527023,6.6453447898
"05895","Zaragoza","Antioquia",1167.1120849913,1167.3305022461,1166.4641131727,1194.960911332,-74.8584681363,7.4739934163
"08001","Barranquilla","Atl<U+00E1>ntico",154.1783440464,154.2040422695,154.0838474625,160.9837535882,-74.827715497,10.9815182646
"08078","Baranoa","Atl<U+00E1>ntico",121.3214665811,121.347105576,121.2599559483,126.518670389,-74.922193981,10.7932892783
"08137","Campo de la Cruz","Atl<U+00E1>ntico",99.9759560515,99.9950249709,99.9206400912,103.9964951339,-74.8784146949,10.4026192174
"08141","Candelaria","Atl<U+00E1>ntico",135.7416164885,135.7674026717,135.6662675318,141.2779928726,-74.8775672755,10.489016214
"08296","Galapa","Atl<U+00E1>ntico",97.4916736314,97.5105750199,97.4382890097,101.7381152405,-74.8870874814,10.8977178705
"08372","Juan de Acosta","Atl<U+00E1>ntico",167.8801477254,167.9300262158,167.8261139044,175.1060918843,-75.0784182095,10.8230664447
"08421","Luruaco","Atl<U+00E1>ntico",224.24374995,224.320905401,224.1932040531,233.608837104,-75.1540287603,10.6350318118
"08433","Malambo","Atl<U+00E1>ntico",97.925762251,97.9411792931,97.8635675295,102.1577071776,-74.8061765482,10.8482893252
"08436","Manat<U+00ED>","Atl<U+00E1>ntico",214.2236562598,214.2760436594,214.1311449095,222.911381625,-74.9847770108,10.4541433028
"08520","Palmar de Varela","Atl<U+00E1>ntico",92.3251946718,92.3383307397,92.2631143294,96.218249217,-74.770152211,10.6948114327
"08549","Pioj<U+00F3>","Atl<U+00E1>ntico",252.8892485921,252.974570594,252.8287014752,263.6320736997,-75.143659501,10.740791156
"08558","Polonuevo","Atl<U+00E1>ntico",73.851149611,73.8643405674,73.8080992443,77.0016958967,-74.8541494528,10.7673995926
