"estacion","lon","lat"
1,-69.94,-4.19
2,-75.14,6.38
3,-75.88,5.69
4,-75.15,7.07
5,-76.65,7.83
6,-76.43,8.85
7,-75.55,6.32
8,-75.91,6.73
9,-75.62,6.05
10,-76.03,6.76
11,-76.72,7.82
12,-76.67,7.77
13,-74.94,7.81
14,-76.08,5.88
15,-75.92,6.04
16,-75.4,6.45
17,-75.65,5.8
18,-76.2,6.78
19,-75.8,5.59
20,-75.32,5.89
21,-75.59,6.22
22,-76.49,7.33
23,-76.67,8.54
24,-75.24,6.21
25,-74.41,6.47
26,-74.72,7.01
27,-75.43,6.17
28,-75.41,6.13
29,-75.04,6.16
30,-75.1,5.96
31,-74.84,6.48
32,-75.25,6.31
33,-75.56,6.78
34,-75.15,6.54
35,-74.85,5.86
36,-75.69,5.72
37,-75.67,7.04
38,-76.16,6.36
39,-76.14,6.3
40,-75.44,7.16
41,-74.8,6.77
42,-70.74,7.07
43,-71.89,6.95
44,-71.75,6.46
45,-81.36,13.36
46,-81.73,12.54
47,-75.05,10.83
48,-74.95,10.45
49,-74.78,10.92
50,-75.52,10.45
51,-74.85,10.06
52,-74.85,9.28
53,-75.26,10.04
54,-73.93,7.48
55,-74.06,7.97
56,-74.84,9.73
57,-72.58,6.33
58,-73.94,5.51
59,-73.1,5.03
60,-72.94,5.96
61,-72.5,6.55
62,-72.47,6.19
63,-73.06,5.9
64,-73.07,5.8
65,-72.38,6.41
66,-72.55,6.25
67,-73.32,4.97
68,-73.14,5.19
69,-72.89,5.78
70,-73.45,5.35
71,-74.18,5.66
72,-73.16,5.97
73,-73.12,5.75
74,-72.72,5.41
75,-74.57,5.98
76,-74.18,5.52
77,-73.35,5.42
78,-73.76,5.7
79,-73.5,5.51
80,-73.6,5.71
81,-72.7,6.12
82,-72.53,6.01
83,-72.97,5.68
84,-73.45,5.02
85,-73.36,5.54
86,-73.54,5.66
87,-75.34,5.58
88,-75.8,5.28
89,-75.47,5.03
90,-75.44,5.03
91,-75.38,5.37
92,-74.99,5.42
93,-75.81,1.3
94,-75.16,1.64
95,-75.56,1.59
96,-75.66,1.5
97,-75.96,1.33
98,-74.79,1.74
99,-75.24,0.74
100,-75.7,1.2
101,-72.55,5.18
102,-71.43,4.91
103,-71.89,5.88
104,-72.17,5.82
105,-71.67,5.42
106,-72.92,4.65
107,-72.39,5.32
108,-77,1.83
109,-76.89,1.75
110,-76.56,2.58
111,-77.89,2.57
112,-76.16,2.24
113,-76.75,2.19
114,-77.19,1.91
115,-76.35,3.27
116,-76.22,3.25
117,-77.05,2.15
118,-76.53,2.67
119,-76.61,2.45
120,-76.41,3.26
121,-76.67,1.9
122,-76.56,3.08
123,-76.61,2.25
124,-76.29,2.51
125,-73.6,8.23
126,-73.27,9.85
127,-73.25,10
128,-73.24,9.69
129,-73.59,9.36
130,-73.64,8.61
131,-73.13,10.27
132,-73.25,10.44
133,-73.32,10.36
134,-73.65,9.9
135,-73.55,10.19
136,-77.4,6.22
137,-76.58,5.51
138,-76.68,4.9
139,-77.5,5.57
140,-76.64,5.69
141,-76.75,5.63
142,-75.16,8.3
143,-75.62,9.15
144,-75.58,8.91
145,-75.89,9.3
146,-75.84,9.25
147,-75.4,8
148,-75.83,8.83
149,-75.97,8.66
