"dane_sede","localidad","estrato","lon","lat","x_9377","y_9377"
"111001000132","Usaquen",NA,-74.03917132,4.7657263494,4884803.20621986,2084693.67437255
"111001029955","Usaquen",NA,-74.0241024198,4.7296466059,4886467.93993883,2080703.96840593
"111848000244","Usaquen",1,-74.0176732204,4.7325330488,4887181.2234202,2081021.90380964
"111848003456","Usaquen",1,-74.0161650703,4.7350554222,4887348.84168712,2081300.40800303
"111001800920","Usaquen",NA,-74.02445769,4.733538535,4886429.18491575,2081134.12709225
"111001044806","Usaquen",2,-74.0232124103,4.7492066286,4886569.80673292,2082865.41852538
"111848000198","Usaquen",2,-74.02554076,4.7588699847,4886313.2500352,2083933.70796831
"111001046957","Usaquen",3,-74.0394877498,4.7454143971,4884764.74809563,2082449.02292958
"111001086843","Usaquen",3,-74.0357061901,4.7429960059,4885183.60903179,2082181.13510846
"111848000082","Usaquen",3,-74.0404540801,4.743046612,4884657.21817335,2082187.51635079
"111001086681","Usaquen",2,-74.0258200696,4.7668536071,4886283.59550696,2084816.0324567
"111848004053","Usaquen",2,-74.0243804502,4.7669456658,4886443.21529605,2084825.96863348
"111001041629","Usaquen",2,-74.0231036504,4.7629742046,4886584.11766453,2084386.86842309
"211848000141","Usaquen",NA,-74.0290370803,4.8000768706,4885932.43798266,2088488.1075672
"111001098612","Usaquen",2,-74.0240543797,4.7643725011,4886478.94307295,2084541.55192512
"111001107743","Usaquen",2,-74.0404180496,4.7580504493,4884663.70671815,2083845.6071719
"111848000911","Usaquen",NA,-74.0433311297,4.6828093633,4884328.27798441,2075531.08715699
"111848001046","Usaquen",3,-74.02834942,4.7635040614,4886002.62470943,2084446.28810987
"111848002522","Usaquen",6,-74.0347827902,4.7041741933,4885279.60504377,2077890.73554862
"111848002662","Usaquen",6,-74.0346348,4.7072084356,4885296.51044072,2078226.02893566
"111848000112","Usaquen",4,-74.0321325904,4.7243841722,4885576.75602219,2080123.72819033
"111848002671","Usaquen",3,-74.02746749,4.7593507294,4886099.71791682,2083987.15312634
"111848000252","Usaquen",3,-74.0279924097,4.7655738504,4886042.54610866,2084674.9638407
"111848002689","Usaquen",3,-74.0277372496,4.7399580841,4886066.62703174,2081844.09553965
"111848000091","Usaquen",3,-74.0250721996,4.7397763202,4886362.07201891,2081823.57119546
"111848000058","Usaquen",3,-74.0245354302,4.7393154184,4886421.50848971,2081772.54853845
"111848003031","Usaquen",3,-74.0258344498,4.7416415911,4886277.86622651,2082029.8291087
"111001046949","Usaquen",2,-74.0214755096,4.7386992522,4886760.66222487,2081703.95497724
"111848000074","Usaquen",NA,-74.0192862596,4.7434539349,4887004.15754749,2082229.04144049
"111848003910","Usaquen",3,-74.0279320699,4.7346493504,4886044.15788822,2081257.45384946
"311001000735","Usaquen",NA,-74.0408509504,4.7321600507,4884611.41175419,2080984.49230153
"311001002452","Usaquen",3,-74.0293678796,4.7463344698,4885886.88554129,2082549.02522667
"311001003271","Usaquen",NA,-74.0412059502,4.7502821404,4884575.06072481,2082987.25091285
"311001010781","Usaquen",4,-74.0429087904,4.7545767774,4884386.98415068,2083462.1425346
"311001017891","Usaquen",3,-74.0279421598,4.7410918557,4886044.09437521,2081969.42351249
"311001032246","Usaquen",NA,-74.0183060296,4.6754120328,4887101.86170092,2074709.5281894
"311001033633","Usaquen",6,-74.0359229401,4.7059896218,4885153.48711213,2078091.5481257
"311001036489","Usaquen",3,-74.03284039,4.7626694821,4885504.58803319,2084354.80147047
"311001039054","Usaquen",3,-74.0280614803,4.7402047101,4886030.71989687,2081871.40373502
"311001039402","Usaquen",6,-74.0504523696,4.6907658466,4883539.99226791,2076411.54940856
"311001041334","Usaquen",3,-74.0280320299,4.7338236627,4886032.94006609,2081166.22265839
"311001042438","Usaquen",4,-74.0446956698,4.7375441716,4884186.03552033,2081580.14031595
"311001044503","Usaquen",4,-74.0357748402,4.6866823858,4885166.7494215,2075957.85816769
"311001044783","Usaquen",3,-74.0287902799,4.7668062702,4885954.29249668,2084811.29191198
"311001046743","Usaquen",3,-74.0281633097,4.762866258,4886023.15306792,2084375.77298341
"311001047278","Usaquen",3,-74.0448047701,4.7503677638,4884176.07689894,2082997.31485641
"311001047944","Usaquen",4,-74.0454422901,4.7239206468,4884100.99090273,2080074.70708354
"311001048002","Usaquen",2,-74.0228772902,4.7483233859,4886606.81676573,2082767.75564322
"311001075522","Usaquen",3,-74.0312947703,4.7378344981,4885671.85450565,2081610.00127771
"311001076031","Usaquen",4,-74.04725876,4.7416383879,4883902.54580948,2082033.02772543
"311001078092","Usaquen",2,-74.0243842698,4.7657707786,4886442.59891996,2084696.13129083
"311001078734","Usaquen",1,-74.0247743201,4.7437094888,4886395.74070311,2082258.1805651
"311001079803","Usaquen",4,-74.0458794804,4.7239871371,4884052.52915572,2080082.12790181
"311001080313","Usaquen",3,-74.0463580004,4.7406819826,4884002.2540674,2081927.18291194
"311001087725","Usaquen",3,-74.0260645102,4.7284880787,4886250.21035621,2080576.25940864
"311001088985","Usaquen",4,-74.0472544202,4.739416529,4883902.6560145,2081787.48553798
"311001092923","Usaquen",5,-74.0473975398,4.7199198482,4883883.54015275,2079632.89824043
"311001092940","Usaquen",4,-74.0376394301,4.7260090318,4884966.46409953,2080304.20200517
"311001093971","Usaquen",3,-74.0308568201,4.7392815468,4885720.64807529,2081769.84411435
"311001095213","Usaquen",3,-74.0249342804,4.7317834068,4886376.05847017,2080940.24424128
"311001095701","Usaquen",3,-74.0301705404,4.7595440338,4885800.07012786,2084008.96194802
"311001098336","Usaquen",3,-74.0409220997,4.7422042883,4884605.18889721,2082094.50781995
"311001098671","Usaquen",2,-74.0299769804,4.7622478068,4885821.97544339,2084307.72710007
"311001098701","Usaquen",2,-74.0293925796,4.7629193218,4885886.87678645,2084381.84033022
"311001101591","Usaquen",4,-74.0365778497,4.7296251206,4885084.76048186,2080703.64518442
"311001104069","Usaquen",6,-74.0368993504,4.6985355476,4885044.00442299,2077267.94978285
"311001104441","Usaquen",3,-74.0262083601,4.7385554114,4886235.90597386,2081688.83369763
"311001107289","Usaquen",6,-74.0279071201,4.6942168013,4886040.33491255,2076789.20940498
"311001107556","Usaquen",3,-74.0354120502,4.765958103,4885220.02169425,2084718.65883127
"311001107599","Usaquen",5,-74.0512746102,4.7096471062,4883451.96069701,2078498.28705372
"311001108129","Usaquen",4,-74.0273130301,4.7233006343,4886110.93743395,2080003.19429704
"311001108366","Usaquen",5,-74.0440819399,4.7178206703,4884250.80646095,2079400.36268681
"311001108790","Usaquen",2,-74.0433817696,4.7649266036,4884336.27418667,2084605.99803305
"311001108854","Usaquen",4,-74.0307824198,4.7155811626,4885725.01301226,2079150.67602815
"311001109460","Usaquen",6,-74.0446808799,4.6905899431,4884179.89894581,2076391.15311397
"311001109664","Usaquen",NA,-74.0196778604,4.6741485502,4886949.55029692,2074570.12052991
