departamento,cod_dep,n_est,punt,area_km2
Antioquia,05,144714,245.894260403278,62787.2015938347
Atlántico,08,62262,245.155054447335,3313.46376818081
"Bogotá, D.C.",11,152536,270.258207898463,1620.94125977718
Bolívar,13,54400,229.980698529412,26688.5357918536
Boyacá,15,30362,268.47566036493,23094.4542299126
Caldas,17,19852,253.138827322184,7421.99077436777
Caquetá,18,7876,241.756729304215,89983.9055540255
Cauca,19,27432,231.10294546515,31260.7528606958
Cesar,20,27128,242.392509584193,22525.9779658937
Córdoba,23,44540,238.296003592277,25082.8967200763
Cundinamarca,25,70026,262.78693628081,22342.8795444981
Chocó,27,9620,206.085862785863,48383.0977607634
Huila,41,26356,254.891637577781,18137.1142076158
La Guajira,44,19520,221.470594262295,20574.4892897448
Magdalena,47,33708,227.499288002848,23109.6177296835
Meta,50,23460,252.880136402387,85356.2208449256
Nariño,52,32910,248.066362807657,31537.322272995
Norte de Santander,54,32622,259.673471890136,21812.1915214108
Quindio,63,11310,260.771175950486,1933.20966757493
Risaralda,66,19338,255.003723239218,3556.45561085507
Santander,68,49756,267.04658734625,30511.5790913051
Sucre,70,22392,236.570918185066,10585.6144725331
Tolima,73,31416,244.60217723453,24128.0085650488
Valle del Cauca,76,78698,247.910340796462,20673.0826231746
Arauca,81,6632,241.468938480097,23773.3181869457
Casanare,85,11058,253.629046843914,44267.0286438318
Putumayo,86,7748,239.744708311822,25974.5367162011
"Archipiélago de San Andrés, Providencia y Santa Catalina",88,1154,237.38301559792,49.5735563417671
Amazonas,91,1646,215.500607533414,109175.42065808
Guainía,94,778,224.164524421594,70953.3541124011
Guaviare,95,2098,228.810295519542,55434.5582036511
Vaupés,97,868,213.668202764977,53109.2775600142
Vichada,99,1218,217.909688013136,99634.2654993023
