divipola,municipio,departamento,tipo,desercion,clase_equal,clase_quantile,clase_fisher,clase_sd,clase_headtails
05667,San Rafael,Antioquia,Municipio,2.95,1,3,2,1,1
05670,San Roque,Antioquia,Municipio,3.31,2,3,3,1,1
05674,San Vicente,Antioquia,Municipio,2.84,1,3,2,1,1
05679,Santa B<U+00E1>rbara,Antioquia,Municipio,3.09,2,3,2,1,1
05697,El Santuario,Antioquia,Municipio,3.55,2,3,3,2,2
05736,Segovia,Antioquia,Municipio,7.66,3,5,5,3,2
05756,Sonson,Antioquia,Municipio,3.27,2,3,3,1,1
05761,Sopetr<U+00E1>n,Antioquia,Municipio,3.44,2,3,3,2,2
05789,T<U+00E1>mesis,Antioquia,Municipio,1.41,1,1,1,1,1
05790,Taraz<U+00E1>,Antioquia,Municipio,6.57,3,5,4,2,2
05792,Tarso,Antioquia,Municipio,1.62,1,1,1,1,1
05809,Titirib<U+00ED>,Antioquia,Municipio,2.69,1,2,2,1,1
05842,Uramita,Antioquia,Municipio,6.73,3,5,4,2,2
05854,Valdivia,Antioquia,Municipio,3.59,2,3,3,2,2
05856,Valpara<U+00ED>so,Antioquia,Municipio,1.73,1,1,1,1,1
05858,Vegach<U+00ED>,Antioquia,Municipio,4.44,2,4,3,2,2
05861,Venecia,Antioquia,Municipio,4.24,2,4,3,2,2
05885,Yal<U+00ED>,Antioquia,Municipio,3.55,2,3,3,2,2
05887,Yarumal,Antioquia,Municipio,2.26,1,2,2,1,1
05890,Yolomb<U+00F3>,Antioquia,Municipio,2.86,1,3,2,1,1
05895,Zaragoza,Antioquia,Municipio,3.38,2,3,3,1,1
08001,Barranquilla,Atl<U+00E1>ntico,Municipio,1.65,1,1,1,1,1
08078,Baranoa,Atl<U+00E1>ntico,Municipio,2.36,1,2,2,1,1
08137,Campo de la Cruz,Atl<U+00E1>ntico,Municipio,3.32,2,3,3,1,1
08141,Candelaria,Atl<U+00E1>ntico,Municipio,4.92,2,5,4,2,2
08296,Galapa,Atl<U+00E1>ntico,Municipio,3.26,2,3,3,1,1
08372,Juan de Acosta,Atl<U+00E1>ntico,Municipio,3.78,2,4,3,2,2
08421,Luruaco,Atl<U+00E1>ntico,Municipio,3.28,2,3,3,1,1
08433,Malambo,Atl<U+00E1>ntico,Municipio,1.97,1,2,1,1,1
08436,Manat<U+00ED>,Atl<U+00E1>ntico,Municipio,1.86,1,1,1,1,1
08520,Palmar de Varela,Atl<U+00E1>ntico,Municipio,2.58,1,2,2,1,1
08549,Pioj<U+00F3>,Atl<U+00E1>ntico,Municipio,2.35,1,2,2,1,1
08558,Polonuevo,Atl<U+00E1>ntico,Municipio,3.87,2,4,3,2,2
08560,Ponedera,Atl<U+00E1>ntico,Municipio,3.97,2,4,3,2,2
08573,Puerto Colombia,Atl<U+00E1>ntico,Municipio,3.03,2,3,2,1,1
08606,Repel<U+00F3>n,Atl<U+00E1>ntico,Municipio,0.69,1,1,1,1,1
08634,Sabanagrande,Atl<U+00E1>ntico,Municipio,3.03,2,3,2,1,1
08638,Sabanalarga,Atl<U+00E1>ntico,Municipio,2.33,1,2,2,1,1
08675,Santa Luc<U+00ED>a,Atl<U+00E1>ntico,Municipio,1.83,1,1,1,1,1
08685,Santo Tom<U+00E1>s,Atl<U+00E1>ntico,Municipio,1.06,1,1,1,1,1
08758,Soledad,Atl<U+00E1>ntico,Municipio,2.69,1,2,2,1,1
08770,Suan,Atl<U+00E1>ntico,Municipio,0.62,1,1,1,1,1
08832,Tubar<U+00E1>,Atl<U+00E1>ntico,Municipio,2.28,1,2,2,1,1
08849,Usiacur<U+00ED>,Atl<U+00E1>ntico,Municipio,1.82,1,1,1,1,1
13006,Ach<U+00ED>,Bol<U+00ED>var,Municipio,3.94,2,4,3,2,2
13030,Altos del Rosario,Bol<U+00ED>var,Municipio,3.91,2,4,3,2,2
13042,Arenal,Bol<U+00ED>var,Municipio,2.43,1,2,2,1,1
13052,Arjona,Bol<U+00ED>var,Municipio,2.84,1,3,2,1,1
13062,Arroyohondo,Bol<U+00ED>var,Municipio,4.87,2,5,4,2,2
13074,Barranco de Loba,Bol<U+00ED>var,Municipio,5.76,2,5,4,2,2
15183,Chita,Boyac<U+00E1>,Municipio,2.83,1,3,2,1,1
15185,Chitaraque,Boyac<U+00E1>,Municipio,5.17,2,5,4,2,2
15187,Chivat<U+00E1>,Boyac<U+00E1>,Municipio,2.16,1,2,2,1,1
15189,Ci<U+00E9>nega,Boyac<U+00E1>,Municipio,1.63,1,1,1,1,1
15204,C<U+00F3>mbita,Boyac<U+00E1>,Municipio,3.24,2,3,2,1,1
15212,Coper,Boyac<U+00E1>,Municipio,1.86,1,1,1,1,1
15215,Corrales,Boyac<U+00E1>,Municipio,2.72,1,2,2,1,1
15218,Covarach<U+00ED>a,Boyac<U+00E1>,Municipio,1.39,1,1,1,1,1
15223,Cubar<U+00E1>,Boyac<U+00E1>,Municipio,4.97,2,5,4,2,2
15224,Cucaita,Boyac<U+00E1>,Municipio,1.4,1,1,1,1,1
15226,Cu<U+00ED>tiva,Boyac<U+00E1>,Municipio,1.31,1,1,1,1,1
15232,Ch<U+00ED>quiza,Boyac<U+00E1>,Municipio,1.41,1,1,1,1,1
15236,Chivor,Boyac<U+00E1>,Municipio,3,2,3,2,1,1
15238,Duitama,Boyac<U+00E1>,Municipio,2.22,1,2,2,1,1
15244,El Cocuy,Boyac<U+00E1>,Municipio,1.21,1,1,1,1,1
15248,El Espino,Boyac<U+00E1>,Municipio,0.69,1,1,1,1,1
15272,Firavitoba,Boyac<U+00E1>,Municipio,1.78,1,1,1,1,1
15276,Floresta,Boyac<U+00E1>,Municipio,3.35,2,3,3,1,1
15293,Gachantiv<U+00E1>,Boyac<U+00E1>,Municipio,4.33,2,4,3,2,2
15296,Gameza,Boyac<U+00E1>,Municipio,1.8,1,1,1,1,1
15299,Garagoa,Boyac<U+00E1>,Municipio,1.66,1,1,1,1,1
15317,Guacamayas,Boyac<U+00E1>,Municipio,0.97,1,1,1,1,1
15322,Guateque,Boyac<U+00E1>,Municipio,1.87,1,1,1,1,1
15325,Guayat<U+00E1>,Boyac<U+00E1>,Municipio,2.52,1,2,2,1,1
15332,G<U+00FC>ic<U+00E1>n,Boyac<U+00E1>,Municipio,0.46,1,1,1,1,1
15362,Iza,Boyac<U+00E1>,Municipio,3.59,2,3,3,2,2
15367,Jenesano,Boyac<U+00E1>,Municipio,0.86,1,1,1,1,1
15368,Jeric<U+00F3>,Boyac<U+00E1>,Municipio,2.1,1,2,2,1,1
15377,Labranzagrande,Boyac<U+00E1>,Municipio,2.49,1,2,2,1,1
15380,La Capilla,Boyac<U+00E1>,Municipio,0.89,1,1,1,1,1
15401,La Victoria,Boyac<U+00E1>,Municipio,0.65,1,1,1,1,1
15403,La Uvita,Boyac<U+00E1>,Municipio,0.51,1,1,1,1,1
15407,Villa de Leyva,Boyac<U+00E1>,Municipio,2.1,1,2,2,1,1
15425,Macanal,Boyac<U+00E1>,Municipio,2.51,1,2,2,1,1
15442,Marip<U+00ED>,Boyac<U+00E1>,Municipio,2.04,1,2,2,1,1
15455,Miraflores,Boyac<U+00E1>,Municipio,2.59,1,2,2,1,1
15464,Mongua,Boyac<U+00E1>,Municipio,2.02,1,2,2,1,1
15466,Mongu<U+00ED>,Boyac<U+00E1>,Municipio,0.93,1,1,1,1,1
15469,Moniquir<U+00E1>,Boyac<U+00E1>,Municipio,3.67,2,4,3,2,2
15476,Motavita,Boyac<U+00E1>,Municipio,1.64,1,1,1,1,1
15480,Muzo,Boyac<U+00E1>,Municipio,1.56,1,1,1,1,1
15494,Nuevo Col<U+00F3>n,Boyac<U+00E1>,Municipio,0.84,1,1,1,1,1
15500,Oicat<U+00E1>,Boyac<U+00E1>,Municipio,3.69,2,4,3,2,2
15507,Otanche,Boyac<U+00E1>,Municipio,2.51,1,2,2,1,1
15511,Pachavita,Boyac<U+00E1>,Municipio,1.82,1,1,1,1,1
15514,P<U+00E1>ez,Boyac<U+00E1>,Municipio,2.13,1,2,2,1,1
15516,Paipa,Boyac<U+00E1>,Municipio,2.94,1,3,2,1,1
15518,Pajarito,Boyac<U+00E1>,Municipio,1.54,1,1,1,1,1
15522,Panqueba,Boyac<U+00E1>,Municipio,2,1,2,2,1,1
15531,Pauna,Boyac<U+00E1>,Municipio,2.86,1,3,2,1,1
15533,Paya,Boyac<U+00E1>,Municipio,0.47,1,1,1,1,1
15537,Paz de R<U+00ED>o,Boyac<U+00E1>,Municipio,1.86,1,1,1,1,1
15542,Pesca,Boyac<U+00E1>,Municipio,0.79,1,1,1,1,1
15550,Pisba,Boyac<U+00E1>,Municipio,3.2,2,3,2,1,1
15572,Puerto Boyac<U+00E1>,Boyac<U+00E1>,Municipio,3.39,2,3,3,1,1
15580,Qu<U+00ED>pama,Boyac<U+00E1>,Municipio,1.59,1,1,1,1,1
15599,Ramiriqu<U+00ED>,Boyac<U+00E1>,Municipio,4.34,2,4,3,2,2
15600,R<U+00E1>quira,Boyac<U+00E1>,Municipio,3.18,2,3,2,1,1
15621,Rond<U+00F3>n,Boyac<U+00E1>,Municipio,2.52,1,2,2,1,1
15632,Saboy<U+00E1>,Boyac<U+00E1>,Municipio,1.39,1,1,1,1,1
15638,S<U+00E1>chica,Boyac<U+00E1>,Municipio,3.81,2,4,3,2,2
15646,Samac<U+00E1>,Boyac<U+00E1>,Municipio,1.89,1,1,1,1,1
15660,San Eduardo,Boyac<U+00E1>,Municipio,0.84,1,1,1,1,1
15664,San Jos<U+00E9> de Pare,Boyac<U+00E1>,Municipio,3.21,2,3,2,1,1
15667,San Luis de Gaceno,Boyac<U+00E1>,Municipio,6,3,5,4,2,2
15673,San Mateo,Boyac<U+00E1>,Municipio,1.05,1,1,1,1,1
15676,San Miguel de Sema,Boyac<U+00E1>,Municipio,1.36,1,1,1,1,1
15681,San Pablo de Borbur,Boyac<U+00E1>,Municipio,1.76,1,1,1,1,1
15686,Santana,Boyac<U+00E1>,Municipio,4.19,2,4,3,2,2
15690,Santa Mar<U+00ED>a,Boyac<U+00E1>,Municipio,1.52,1,1,1,1,1
15693,Santa Rosa de Viterbo,Boyac<U+00E1>,Municipio,2.39,1,2,2,1,1
15696,Santa Sof<U+00ED>a,Boyac<U+00E1>,Municipio,3.35,2,3,3,1,1
15720,Sativanorte,Boyac<U+00E1>,Municipio,3.97,2,4,3,2,2
15723,Sativasur,Boyac<U+00E1>,Municipio,0,1,1,1,1,1
15740,Siachoque,Boyac<U+00E1>,Municipio,1.76,1,1,1,1,1
15753,Soat<U+00E1>,Boyac<U+00E1>,Municipio,0.89,1,1,1,1,1
15755,Socot<U+00E1>,Boyac<U+00E1>,Municipio,1.47,1,1,1,1,1
15757,Socha,Boyac<U+00E1>,Municipio,2.76,1,2,2,1,1
15759,Sogamoso,Boyac<U+00E1>,Municipio,1.99,1,2,2,1,1
15761,Somondoco,Boyac<U+00E1>,Municipio,2.54,1,2,2,1,1
15762,Sora,Boyac<U+00E1>,Municipio,0.74,1,1,1,1,1
15763,Sotaquir<U+00E1>,Boyac<U+00E1>,Municipio,1.71,1,1,1,1,1
15764,Sorac<U+00E1>,Boyac<U+00E1>,Municipio,2.53,1,2,2,1,1
15774,Susac<U+00F3>n,Boyac<U+00E1>,Municipio,4.64,2,4,3,2,2
15776,Sutamarch<U+00E1>n,Boyac<U+00E1>,Municipio,2.09,1,2,2,1,1
15778,Sutatenza,Boyac<U+00E1>,Municipio,0.84,1,1,1,1,1
15790,Tasco,Boyac<U+00E1>,Municipio,1.24,1,1,1,1,1
15798,Tenza,Boyac<U+00E1>,Municipio,2.05,1,2,2,1,1
15804,Tiban<U+00E1>,Boyac<U+00E1>,Municipio,1.51,1,1,1,1,1
15808,Tinjac<U+00E1>,Boyac<U+00E1>,Municipio,4.45,2,4,3,2,2
15810,Tipacoque,Boyac<U+00E1>,Municipio,1.1,1,1,1,1,1
15814,Toca,Boyac<U+00E1>,Municipio,2.2,1,2,2,1,1
15816,Tog<U+00FC><U+00ED>,Boyac<U+00E1>,Municipio,6.25,3,5,4,2,2
15820,T<U+00F3>paga,Boyac<U+00E1>,Municipio,2.01,1,2,2,1,1
15822,Tota,Boyac<U+00E1>,Municipio,1.86,1,1,1,1,1
15832,Tunungu<U+00E1>,Boyac<U+00E1>,Municipio,0.73,1,1,1,1,1
15835,Turmequ<U+00E9>,Boyac<U+00E1>,Municipio,0.93,1,1,1,1,1
15837,Tuta,Boyac<U+00E1>,Municipio,2.51,1,2,2,1,1
15839,Tutaz<U+00E1>,Boyac<U+00E1>,Municipio,1.91,1,1,1,1,1
15842,Umbita,Boyac<U+00E1>,Municipio,1.17,1,1,1,1,1
15861,Ventaquemada,Boyac<U+00E1>,Municipio,2.83,1,3,2,1,1
15879,Viracach<U+00E1>,Boyac<U+00E1>,Municipio,1.86,1,1,1,1,1
15897,Zetaquira,Boyac<U+00E1>,Municipio,1,1,1,1,1,1
17001,Manizales,Caldas,Municipio,3.06,2,3,2,1,1
17013,Aguadas,Caldas,Municipio,3.24,2,3,2,1,1
17042,Anserma,Caldas,Municipio,3.81,2,4,3,2,2
17050,Aranzazu,Caldas,Municipio,3.3,2,3,3,1,1
17088,Belalc<U+00E1>zar,Caldas,Municipio,5.08,2,5,4,2,2
17174,Chinchin<U+00E1>,Caldas,Municipio,5.53,2,5,4,2,2
17272,Filadelfia,Caldas,Municipio,4.64,2,4,3,2,2
