divipola,municipio,departamento,n,punt
05001,Medell<U+00ED>n,Antioquia,55326,250.692658063117
05002,Abejorral,Antioquia,362,254.629834254144
05004,Abriaqu<U+00ED>,Antioquia,36,233.888888888889
05021,Alejandr<U+00ED>a,Antioquia,96,227.8125
05030,Amag<U+00E1>,Antioquia,616,233.282467532468
05031,Amalfi,Antioquia,524,233.141221374046
05034,Andes,Antioquia,852,251.356807511737
05036,Angel<U+00F3>polis,Antioquia,120,209.033333333333
05038,Angostura,Antioquia,268,204.268656716418
05040,Anor<U+00ED>,Antioquia,894,192.342281879195
05042,Santaf<U+00E9> de Antioquia,Antioquia,548,230.07299270073
05044,Anza,Antioquia,126,221.222222222222
05045,Apartad<U+00F3>,Antioquia,3464,236.935912240185
05051,Arboletes,Antioquia,962,212.950103950104
05055,Argelia,Antioquia,138,225.811594202899
05059,Armenia,Antioquia,86,250.627906976744
05079,Barbosa,Antioquia,1152,235.194444444445
05086,Belmira,Antioquia,174,227.885057471264
05088,Bello,Antioquia,11002,252.205235411743
05091,Betania,Antioquia,114,224.59649122807
05093,Betulia,Antioquia,380,213.236842105263
05101,Ciudad Bol<U+00ED>var,Antioquia,494,243.364372469636
05107,Brice<U+00F1>o,Antioquia,82,224.292682926829
05113,Buritic<U+00E1>,Antioquia,156,223.25641025641
05120,C<U+00E1>ceres,Antioquia,670,212.313432835821
05125,Caicedo,Antioquia,290,209.758620689655
05129,Caldas,Antioquia,1550,256.805161290323
05134,Campamento,Antioquia,166,224.506024096386
05138,Ca<U+00F1>asgordas,Antioquia,424,224.52358490566
05142,Caracol<U+00ED>,Antioquia,70,230.085714285714
05145,Caramanta,Antioquia,134,228.462686567164
05147,Carepa,Antioquia,1148,232.747386759582
05148,El Carmen de Viboral,Antioquia,1392,266.783045977012
05150,Carolina,Antioquia,88,229.795454545455
05154,Caucasia,Antioquia,2426,243.710634789777
05172,Chigorod<U+00F3>,Antioquia,1560,228.507692307692
05190,Cisneros,Antioquia,190,240.736842105263
05197,Cocorn<U+00E1>,Antioquia,302,248.662251655629
05206,Concepci<U+00F3>n,Antioquia,70,224.8
05209,Concordia,Antioquia,422,216.701421800948
05212,Copacabana,Antioquia,1962,263.775739041794
05234,Dabeiba,Antioquia,512,212.85546875
05237,Don Mat<U+00ED>as,Antioquia,424,242.047169811321
05240,Eb<U+00E9>jico,Antioquia,212,227.537735849057
05250,El Bagre,Antioquia,1532,214.640992167102
05264,Entrerrios,Antioquia,246,260.325203252033
05266,Envigado,Antioquia,4218,282.548601232812
05282,Fredonia,Antioquia,338,238.840236686391
05284,Frontino,Antioquia,460,238.573913043478
05306,Giraldo,Antioquia,116,217.01724137931
05308,Girardota,Antioquia,1250,251.5232
05310,G<U+00F3>mez Plata,Antioquia,162,244.123456790123
05313,Granada,Antioquia,162,243.345679012346
05315,Guadalupe,Antioquia,120,246.033333333333
05318,Guarne,Antioquia,860,253.527906976744
05321,Guatape,Antioquia,228,254.666666666667
05347,Heliconia,Antioquia,96,237.0625
05353,Hispania,Antioquia,82,248.414634146341
05360,Itag<U+00FC><U+00ED>,Antioquia,5726,261.575969263011
05361,Ituango,Antioquia,476,208.382352941176
05364,Jard<U+00ED>n,Antioquia,316,248.126582278481
05368,Jeric<U+00F3>,Antioquia,312,246.730769230769
05376,La Ceja,Antioquia,1346,268.716196136701
05380,La Estrella,Antioquia,1496,270.95320855615
05390,La Pintada,Antioquia,150,240.853333333333
05400,La Uni<U+00F3>n,Antioquia,508,255.070866141732
05411,Liborina,Antioquia,244,228.745901639344
05425,Maceo,Antioquia,184,240.554347826087
05440,Marinilla,Antioquia,1544,262.19170984456
05467,Montebello,Antioquia,148,231.391891891892
05475,Murind<U+00F3>,Antioquia,18,191.666666666667
05480,Mutat<U+00E1>,Antioquia,284,212.542253521127
05483,Nari<U+00F1>o,Antioquia,172,227.43023255814
05490,Necocl<U+00ED>,Antioquia,1556,209.119537275064
05495,Nech<U+00ED>,Antioquia,398,214.824120603015
05501,Olaya,Antioquia,60,245.9
05541,Pe<U+00F1>ol,Antioquia,500,236.944
05543,Peque,Antioquia,152,223.486842105263
05576,Pueblorrico,Antioquia,208,237.384615384615
05579,Puerto Berr<U+00ED>o,Antioquia,898,219.75723830735
05585,Puerto Nare,Antioquia,252,215.920634920635
05591,Puerto Triunfo,Antioquia,330,244.157575757576
05604,Remedios,Antioquia,742,209.148247978437
05607,Retiro,Antioquia,510,268.007843137255
05615,Rionegro,Antioquia,3150,263.741587301587
05628,Sabanalarga,Antioquia,156,218.435897435897
05631,Sabaneta,Antioquia,1594,278.143036386449
05642,Salgar,Antioquia,216,237.12962962963
05647,San Andr<U+00E9>s,Antioquia,130,232.938461538462
05649,San Carlos,Antioquia,472,231.402542372881
05652,San Francisco,Antioquia,90,238.822222222222
05656,San Jer<U+00F3>nimo,Antioquia,288,241.013888888889
05658,San Jos<U+00E9> de la Monta<U+00F1>a,Antioquia,66,233.69696969697
05659,San Juan de Urab<U+00E1>,Antioquia,544,209.819852941176
05660,San Luis,Antioquia,282,236.056737588652
05664,San Pedro,Antioquia,724,250.759668508287
05665,San Pedro de Uraba,Antioquia,894,224.393736017897
05667,San Rafael,Antioquia,268,245.462686567164
05670,San Roque,Antioquia,566,223.770318021201
05674,San Vicente,Antioquia,420,243.380952380952
05679,Santa B<U+00E1>rbara,Antioquia,444,242.918918918919
05686,Santa Rosa de Osos,Antioquia,1046,261.328871892925
05690,Santo Domingo,Antioquia,392,239.219387755102
05697,El Santuario,Antioquia,968,243.510330578512
05736,Segovia,Antioquia,734,215.817438692098
05756,Sonson,Antioquia,722,235.04432132964
05761,Sopetr<U+00E1>n,Antioquia,406,223.881773399015
05789,T<U+00E1>mesis,Antioquia,332,239.120481927711
05790,Taraz<U+00E1>,Antioquia,596,222.580536912752
05792,Tarso,Antioquia,98,245.30612244898
05809,Titirib<U+00ED>,Antioquia,118,232.033898305085
05819,Toledo,Antioquia,98,209.734693877551
05837,Turbo,Antioquia,3646,214.470104223807
05842,Uramita,Antioquia,122,222.836065573771
05847,Urrao,Antioquia,806,222.600496277916
05854,Valdivia,Antioquia,188,234.117021276596
05856,Valpara<U+00ED>so,Antioquia,104,234.5
05858,Vegach<U+00ED>,Antioquia,398,215.778894472362
05861,Venecia,Antioquia,280,221.285714285714
05873,Vig<U+00ED>a del Fuerte,Antioquia,248,190.596774193548
05885,Yal<U+00ED>,Antioquia,132,207.712121212121
05887,Yarumal,Antioquia,1006,254.109343936382
05890,Yolomb<U+00F3>,Antioquia,586,213.075085324232
05893,Yond<U+00F3>,Antioquia,282,231.836879432624
05895,Zaragoza,Antioquia,718,204.983286908078
08001,Barranquilla,Atl<U+00E1>ntico,31314,253.861403844926
08078,Baranoa,Atl<U+00E1>ntico,1404,236.534188034188
08137,Campo de la Cruz,Atl<U+00E1>ntico,482,219.199170124481
08141,Candelaria,Atl<U+00E1>ntico,312,207.410256410256
08296,Galapa,Atl<U+00E1>ntico,1184,241.5
08372,Juan de Acosta,Atl<U+00E1>ntico,378,225.010582010582
