divipola,n,x,p
18247,452,3.55752212389381,244.004424778761
63001,5452,4.78503301540719,270.643800440205
05034,808,3.11633663366337,252.70297029703
05088,10024,4.49421388667199,253.555865921788
76520,5524,4.17451122375091,264.027878349022
73001,12578,4.59453013197647,261.139926856416
41001,7250,4.72331034482759,268.248827586207
23001,11110,4.39153915391539,257.828802880288
76001,30042,4.11384062312762,251.326542840024
05789,306,3.03921568627451,238.745098039216
11001,142082,4.87286215002604,270.936628144311
70429,792,3.31565656565657,210.924242424242
44847,1954,2.78607983623337,195.447287615148
76248,910,3.62857142857143,245.830769230769
41791,596,3.15436241610738,235.510067114094
70670,1260,3.1015873015873,223.009523809524
05854,178,3.04494382022472,234.359550561798
05604,688,3.2703488372093,210.470930232558
20550,456,3.43859649122807,227.421052631579
85001,4714,4.30844293593551,258.965634280866
86320,922,3.28199566160521,233.386117136659
68397,84,2.47619047619048,254.547619047619
08758,13314,4.42586750788644,243.395523509088
50001,11082,4.71683811586356,260.780905973651
23855,928,3.30818965517241,218.8125
13430,2888,3.84556786703601,230.806094182826
66001,9580,4.40814196242171,261.251565762004
23417,2822,3.975194897236,234.784549964564
05591,310,3.52903225806452,244.154838709677
52356,2784,3.66379310344828,266.087643678161
18592,340,3.11764705882353,227.164705882353
15001,4700,5.25531914893617,287.42085106383
68276,5046,4.85612366230678,282.562822037257
05440,1428,4.0672268907563,263.399159663866
05045,3150,4.56634920634921,237.349841269841
05051,890,3.08314606741573,213.406741573034
70742,500,3.464,238.152
52573,172,3.72093023255814,273.883720930233
27001,2898,4.83574879227053,222.64044168392
52215,286,2.98601398601399,256.713286713287
44001,4810,4.62702702702703,235.169230769231
15753,194,4.94845360824742,268.288659793814
05736,692,3.60115606936416,216.812138728324
19807,670,3.37313432835821,249.032835820896
15822,106,2.39622641509434,252.207547169811
76147,2628,3.84855403348554,252.724505327245
19418,194,2.97938144329897,180.824742268041
73226,162,3.18518518518519,231.530864197531
05001,50504,4.45228100744496,251.757405354031
05360,5256,4.50228310502283,261.838660578387
54498,2192,4.13777372262774,268.387773722628
41006,692,2.84682080924856,245.537572254335
41319,466,2.91845493562232,234.326180257511
44430,4028,3.83217477656405,228.670804369414
19513,228,4.24561403508772,205
41770,450,3.00888888888889,233.368888888889
76306,572,4.17482517482518,259.72027972028
73504,654,3.01834862385321,217.247706422018
05212,1814,4.59536934950386,262.927232635061
19075,266,2.42105263157895,232.383458646617
66318,338,2.97633136094675,229.597633136095
17001,7428,4.57485191168551,268.147819063005
68001,11762,4.80071416425778,281.087230062914
05837,3296,3.84405339805825,215.398058252427
76126,420,3.61428571428571,263.276190476191
08001,28286,4.88467793254614,254.851587357704
68368,64,3.125,251.40625
47798,332,3.23493975903614,211.415662650602
20032,378,3.89417989417989,222.687830687831
54001,16640,4.27223557692308,265.4453125
47460,340,2.96470588235294,216.041176470588
05125,272,2.33823529411765,210.029411764706
81736,1222,3.5253682487725,250.56464811784
73319,696,3.46551724137931,221.241379310345
47745,372,3.16129032258065,205.854838709677
81001,2132,4.16885553470919,240.750469043152
52001,8314,4.23646860716863,273.633389463555
70713,1040,3.04807692307692,208.598076923077
27205,378,3.88359788359788,207.772486772487
76275,1190,3.87394957983193,252.605042016807
19355,552,2.90942028985507,235.163043478261
76892,1908,3.84800838574424,247.01677148847
66572,252,3.51587301587302,193.793650793651
68755,1120,4.25178571428571,261.205357142857
17380,1300,3.98923076923077,248.093846153846
13473,428,2.94859813084112,208.327102803738
19100,736,2.66032608695652,227.41847826087
47001,12166,4.77872760151241,244.763274699984
05266,3842,5.95471108797501,283.418532014576
41298,1918,3.63086548488008,249.696558915537
20045,358,4.07821229050279,232.402234636872
19256,738,3.02710027100271,230.308943089431
66594,782,2.97442455242967,234.76726342711
05172,1300,3.78615384615385,228.555384615385
27361,788,4.2258883248731,224.989847715736
05318,818,3.81418092909535,254.591687041565
70708,1344,3.16666666666667,223.13244047619
18479,64,3.53125,213.6875
20175,786,3.264631043257,218.035623409669
15572,1300,3.81384615384615,241.996923076923
41357,228,3.05263157894737,240.333333333333
86001,1386,4.19047619047619,252.904761904762
41020,318,3.15723270440252,265.301886792453
23500,708,3.38418079096045,227.059322033898
73217,560,2.925,203.646428571429
15480,164,3.18292682926829,246.463414634146
05390,142,3.45070422535211,239.887323943662
73067,292,2.89041095890411,216.979452054795
50150,354,3.64971751412429,243.101694915254
05129,1446,4.25034578146611,257.156293222683
05642,208,2.41346153846154,238.153846153846
70235,548,3.19343065693431,238.759124087591
15104,98,2.46938775510204,253.081632653061
63401,782,3.61125319693095,241.813299232737
05480,258,3.2015503875969,213.527131782946
41378,224,2.9375,273.205357142857
70215,1848,4.42748917748918,257.678571428571
81300,474,3.44725738396624,243.915611814346
50124,96,3.97916666666667,233.8125
85225,162,2.82716049382716,248.382716049383
41551,2950,3.78372881355932,271.768813559322
68547,3788,4.21541710665259,271.58606124604
76109,6150,4.45821138211382,221.153821138211
15776,96,2.625,251.333333333333
76616,300,3.00666666666667,233.686666666667
41206,88,2.72727272727273,249.113636363636
85440,828,3.8719806763285,247.81884057971
76834,4264,4.3672607879925,260.346622889306
76233,660,3.32424242424242,231.869696969697
23660,2460,3.66747967479675,250.975609756098
05361,460,2.74347826086957,209.317391304348
73449,870,4.27816091954023,244.862068965517
05376,1300,4.28153846153846,269.233846153846
25754,14544,4.33209570957096,259.517464246425
05284,430,3.38139534883721,238.427906976744
73461,60,2.53333333333333,241.7
19001,5742,4.18843608498781,261.050156739812
50350,214,2.8785046728972,233.710280373832
50711,374,2.97326203208556,233.406417112299
68500,284,3.5,261.528169014085
05250,1322,3.19515885022693,216.727685325265
25214,1620,6.67283950617284,303.946913580247
70230,86,3.55813953488372,212.395348837209
18029,94,3.21276595744681,232.957446808511
05483,166,2.69879518072289,227.746987951807
13468,1152,3.79166666666667,219.894097222222
50313,1800,3.84111111111111,251.688888888889
15162,72,3.61111111111111,272.972222222222
08421,574,3.54006968641115,214.947735191638
23807,2180,3.20642201834862,234.173394495413
50006,1786,4.31354983202688,263.734602463606
05792,82,2.87804878048781,249.09756097561
05021,82,3.1219512195122,224.560975609756
52227,964,2.81742738589212,237.313278008299
19693,166,2.60240963855422,224.734939759036
73283,660,3.27575757575758,250.842424242424
20001,10646,4.74149915461206,256.537291001315
68867,20,4,270.5
05209,400,2.395,216.27
23419,348,2.81034482758621,217.666666666667
41807,528,3.07954545454545,243.598484848485
76736,696,3.75287356321839,256.005747126437
70771,426,2.95305164319249,220.657276995305
05425,180,3.28888888888889,240.411111111111
54250,412,2.38834951456311,220.529126213592
18205,166,3.2289156626506,218.602409638554
08433,2722,3.97134459955915,236.288758265981
23162,2604,4.14439324116743,245.096006144393
23686,1006,3.7117296222664,236.155069582505
05667,256,3.65625,246.6796875
15531,146,2.82191780821918,237.72602739726
86760,112,2.67857142857143,219.571428571429
19532,630,2.97777777777778,221.730158730159
19130,696,2.41379310344828,227.985632183908
19137,758,2.94986807387863,209.279683377309
20011,2386,3.74601844090528,240.77870913663
05364,302,3.21854304635762,248.258278145695
15759,3806,4.78822911192853,280.167630057804
68077,870,3.89655172413793,254.519540229885
41668,646,3.08978328173375,248.752321981424
70820,618,3.82847896440129,238.838187702265
47551,766,3.6266318537859,228.947780678851
63130,1328,4.10090361445783,263.028614457831
05686,1002,4.50698602794411,261.383233532934
41615,604,3.8112582781457,266.619205298013
19110,442,3.24886877828054,204.773755656109
05138,396,2.97979797979798,226.282828282828
18753,900,3.00444444444444,230.906666666667
19300,316,4.12025316455696,200.177215189873
25175,3136,5.25127551020408,278.167729591837
15180,52,2.92307692307692,252.923076923077
05631,1434,5.45327754532775,278.634588563459
25740,836,4.2511961722488,252.614832535885
05079,1070,3.54579439252336,235.785046728972
76895,868,4.18433179723502,237.672811059908
05234,464,2.87931034482759,214.659482758621
41359,824,2.43932038834951,241.196601941748
97001,670,2.96716417910448,217.170149253731
76890,262,3.64885496183206,246.580152671756
47030,338,3.52662721893491,206.047337278107
54385,230,2.46086956521739,234.04347826087
76869,206,3.60194174757282,233.310679611651
20250,772,3.73316062176166,222.89378238342
05887,980,3.91428571428571,253.997959183673
41396,1378,3.23367198838897,242.031930333817
91001,1140,3.77543859649123,223.238596491228
68669,252,3.04761904761905,249.944444444445
05147,1082,3.75046210720887,232.990757855823
05495,338,3.18934911242604,213.739644970414
15646,444,2.98198198198198,265.256756756757
76670,342,3.42105263157895,241.853801169591
23189,1422,3.38396624472574,233.177215189873
19780,376,2.98404255319149,205.457446808511
68679,1942,4.0659114315139,259.616889804325
23168,390,3.44615384615385,221.841025641026
23079,484,3.16942148760331,216.285123966942
70265,220,3.22727272727273,219.445454545455
05895,652,3.14110429447853,205.779141104294
81794,1264,3.68512658227848,244.76582278481
18001,3554,4.31007315700619,253.751266178953
05490,1442,3.10402219140083,210.377253814147
05541,472,3.44491525423729,238.122881355932
73547,100,3.4,238.98
85410,644,4.07763975155279,253.627329192547
73268,1498,4.34178905206943,243.487316421896
23300,352,3.3125,223.5625
05380,1388,5.4985590778098,270.693083573487
76364,2504,4.34664536741214,255.142971246006
70233,238,3.40336134453782,237.714285714286
15185,116,2.6551724137931,239.362068965517
73483,394,3.57360406091371,223.659898477157
05002,350,3.05142857142857,255.794285714286
41799,230,2.88695652173913,238.365217391304
08078,1286,4.40590979782271,238.597200622084
76400,748,3.6524064171123,250.548128342246
15638,104,3.40384615384615,240.769230769231
76497,142,3.11267605633803,215.774647887324
23068,918,3.60348583877996,218.095860566449
54518,986,4.78296146044625,290.30831643002
18460,148,2.83783783783784,211.540540540541
63548,186,4.05376344086022,252.924731182796
13001,24320,4.68922697368421,240.286019736842
13052,1810,3.96685082872928,222.266298342541
19450,302,3.11258278145695,222.807947019868
17777,702,3.11680911680912,225.321937321937
54128,182,2.76923076923077,235.549450549451
86568,1290,3.48682170542636,239.452713178295
73352,256,3.65625,243.03125
05040,552,2.47826086956522,198.141304347826
41244,108,3.48148148148148,255.277777777778
05093,364,2.36813186813187,213.395604395604
73671,282,3.58156028368794,222.560283687943
15814,214,3.2803738317757,251.616822429907
13836,2102,4.94671741198858,253.568981921979
27787,422,3.46445497630332,197.075829383886
54820,382,3.01570680628272,244.324607329843
25799,722,5.43490304709141,283.95567867036
19050,310,2.60645161290323,233.393548387097
41524,740,4.5,258.772972972973
05237,360,3.28333333333333,244.594444444444
15681,128,2.953125,234.109375
94001,512,3.4140625,236.50390625
17042,594,2.97306397306397,246.299663299663
19473,492,2.67479674796748,219.869918699187
27800,178,3.8314606741573,210.247191011236
50370,222,2.36036036036036,221.576576576577
41518,186,3.47311827956989,249.043010752688
63470,700,3.51428571428571,241.965714285714
50270,164,3.37804878048781,232.853658536585
15238,3356,4.88379022646007,282.913587604291
23466,2002,3.75724275724276,244.226773226773
54344,114,2.68421052631579,232.912280701754
05576,190,3.02105263157895,238.031578947368
05861,246,3.40650406504065,222.121951219512
50680,220,3.75454545454545,234.345454545455
47318,656,3,220.259146341463
05847,748,2.98663101604278,224.197860962567
25307,2318,4.9792924935289,250.918895599655
20614,278,3.66906474820144,243.079136690648
70001,6998,4.45212917976565,254.406973420977
15516,762,4.63517060367454,295.816272965879
68406,1014,3.37475345167653,256.960552268245
19743,644,2.72049689440994,219.754658385093
13744,280,3.34285714285714,233.442857142857
05368,280,3.30714285714286,247.542857142857
17013,480,2.82916666666667,262.4625
25286,2600,4.94615384615385,268.35
27077,226,3.27433628318584,194.840707964602
76606,408,3.53921568627451,244.333333333333
25386,614,4.27035830618893,266.71335504886
76563,846,3.77777777777778,249.822695035461
76403,254,3.51968503937008,229.779527559055
63302,166,3.1566265060241,237.710843373494
15183,230,3.12173913043478,232.304347826087
41503,282,2.65248226950355,245.574468085106
05856,92,3.19565217391304,230.521739130435
13549,580,2.92758620689655,204.989655172414
41797,226,3.61946902654867,242.106194690266
70523,350,2.72,213.331428571429
13655,192,3.4375,205.916666666667
05313,140,2.92857142857143,248.6
05649,450,3.23555555555556,232.031111111111
17662,444,3.07657657657658,246.292792792793
05150,80,4.65,226.725
19824,338,2.47337278106509,219.284023668639
25899,2724,4.84508076358297,276.867841409692
05240,204,2.58823529411765,226.980392156863
19548,760,3.13421052631579,237.939473684211
20770,408,3.07352941176471,246.936274509804
18785,84,3.16666666666667,227.476190476191
15632,282,3.52482269503546,248.964539007092
85010,860,3.85348837209302,260.513953488372
41013,160,3.0375,245.5125
05030,566,3.28268551236749,234.402826855124
70110,204,3.77450980392157,229.323529411765
05154,2218,3.84670874661858,244.700631199279
05042,516,3.29457364341085,231.492248062016
19142,696,3.66379310344828,216.795977011494
76113,440,3.94545454545455,238.063636363636
86571,214,2.64485981308411,229.654205607477
23672,626,3.6741214057508,218.715654952077
15764,236,4.02542372881356,275.177966101695
05308,1112,4.2589928057554,253.446043165468
85279,38,4.05263157894737,245.21052631579
23182,1010,3.51683168316832,250.661386138614
85139,290,3.63448275862069,244.441379310345
66045,276,2.91304347826087,227.557971014493
54670,94,2.5531914893617,226.170212765957
27495,106,3.39622641509434,189.11320754717
15380,58,4.03448275862069,258.689655172414
73055,232,3.47413793103448,227.405172413793
76130,1584,3.8989898989899,244.92297979798
25377,742,5.44743935309973,284.380053908356
19573,820,4.54146341463415,210.473170731707
86749,502,4.0597609561753,251.003984063745
05113,148,2.37837837837838,223.243243243243
41483,178,3.20224719101124,227.258426966292
05890,556,2.99640287769784,213.276978417266
05756,684,3.06432748538012,236.640350877193
68615,586,3.12969283276451,240.498293515358
05282,312,3.50641025641026,239.435897435897
18410,188,2.70212765957447,234.159574468085
63111,48,3.08333333333333,240.208333333333
05652,88,3.40909090909091,238.909090909091
27025,192,3.34375,177.59375
19517,516,2.77131782945736,211.674418604651
