r,K,K_teorica,L_menos_r
0,0,0,0
58.6812,27169.5,10861.6,34.3152
117.362,89197.6,43347.3,51.1384
176.043,194814,97457.1,72.9771
234.725,325705,173191,87.2616
293.406,481258,270549,97.9881
352.087,675543,389531,111.629
410.768,886642,530138,120.482
469.449,1127510,692368,129.631
528.13,1401660,876289,139.823
586.812,1702100,1081870,149.256
645.493,2031850,1309070,158.72
704.174,2401050,1557890,170.056
762.855,2782770,1828340,178.306
821.536,3189420,2120420,186.047
880.217,3614040,2434120,192.343
938.899,4069410,2769440,199.229
997.58,4525250,3126420,202.6
1056.26,5015300,3505090,207.234
1114.94,5531980,3905380,212.041
1173.62,6074150,4327300,216.867
1232.3,6628610,4770840,220.263
1290.99,7211500,5236010,224.103
1349.67,7814700,5722800,227.513
1408.35,8423990,6231210,229.162
1467.03,9068200,6761250,231.941
1525.71,9734040,7313020,234.529
1584.39,10416600,7886400,236.517
1643.07,11129500,8481410,239.115
1701.75,11855900,9098050,240.886
1760.43,12605600,9736300,242.685
1819.12,13394300,10396200,245.718
1877.8,14226100,11077700,250.185
1936.48,15054700,11780800,252.599
1995.16,15909600,12505600,255.215
2053.84,16763400,13252100,256.128
2112.52,17665100,14020200,258.76
2171.2,18591500,14810000,261.462
2229.88,19536400,15621300,263.834
2288.57,20482400,16454300,264.815
2347.25,21466600,17308900,266.76
2405.93,22458800,18185100,267.807
2464.61,23493900,19083000,270.047
2523.29,24564000,20002500,272.951
2581.97,25641600,20943700,274.946
2640.65,26731800,21906600,276.366
2699.33,27842600,22891000,277.674
2758.01,28978300,23897100,279.103
2816.7,30166300,24924800,282.051
2875.38,31333000,25974100,282.725
2934.06,32573200,27045000,285.938
2992.74,33815100,28137700,288.066
3051.42,35095100,29252000,290.902
3110.1,36369200,30387900,292.35
3168.78,37652700,31545400,293.186
3227.46,38967400,32724600,294.426
3286.14,40336400,33925300,297.076
3344.83,41667800,35147800,297.052
3403.51,43040700,36391800,297.882
3462.19,44485300,37657500,300.804
3520.87,45930400,38944900,302.755
3579.55,47390800,40253900,304.386
3638.23,48874000,41584500,306.014
3696.91,50351800,42936800,306.52
3755.59,51839600,44310600,306.555
3814.28,53384500,45706100,307.959
3872.96,54975500,47123300,310.254
3931.64,56536000,48562000,310.528
3990.32,58142400,50022500,311.693
4049,59780200,51504600,313.182
4107.68,61412800,53008300,313.665
4166.36,63074100,54533700,314.387
4225.04,64755300,56080600,315.028
4283.72,66470800,57649200,316.092
4342.41,68226100,59239400,317.749
4401.09,70033600,60851300,320.395
4459.77,71845900,62484800,322.414
4518.45,73674200,64140000,324.197
4577.13,75496200,65816800,325.031
4635.81,77319600,67515300,325.196
4694.49,79198200,69235300,326.421
4753.17,81084900,70977000,327.193
4811.85,82992000,72740300,327.909
4870.54,84939500,74525300,329.183
4929.22,86866500,76331900,329.154
4987.9,88846300,78160200,330.058
5046.58,90815900,80010100,329.999
5105.26,92866300,81881600,331.674
5163.94,94878700,83774700,331.586
5222.62,96852300,85689500,329.768
5281.3,98864200,87625900,328.46
5339.99,100901000,89583900,327.27
5398.67,102980000,91563600,326.676
5457.35,105152000,93565000,328.058
5516.03,107270000,95588000,327.352
5574.71,109368000,97632600,325.537
5633.39,111551000,99698800,325.45
5692.07,113693000,101787000,323.707
5750.75,115851000,103896000,321.851
5809.43,118050000,106027000,320.531
5868.12,120203000,108180000,317.497
