x,y,dane_sede,sector,clase,zona,estrato
4884803.20621986,2084693.67437255,111001000132,Oficial,Distrital,Urbana,
4886467.93993884,2080703.96840593,111001029955,Oficial,Distrital,Urbana,
4887181.2234202,2081021.90380964,111848000244,Oficial,Distrital,Urbana,1
4887348.84168712,2081300.40800303,111848003456,Oficial,Distrital,Urbana,1
4886429.18491575,2081134.12709225,111001800920,Oficial,Distrital,Urbana,
4886569.80673292,2082865.41852538,111001044806,Oficial,Distrital,Urbana,2
4886313.2500352,2083933.70796831,111848000198,Oficial,Distrital,Urbana,2
4884764.74809563,2082449.02292958,111001046957,Oficial,Distrital,Urbana,3
4885183.60903179,2082181.13510846,111001086843,Oficial,Distrital,Urbana,3
4884657.21817335,2082187.51635079,111848000082,Oficial,Distrital,Urbana,3
4886283.59550696,2084816.0324567,111001086681,Oficial,Distrital,Urbana,2
4886443.21529605,2084825.96863348,111848004053,Oficial,Distrital,Urbana,2
4886478.94307295,2084541.55192512,111001098612,Oficial,Distrital - administracion contratada,Urbana,2
4884663.70671815,2083845.6071719,111001107743,Oficial,Distrital,Urbana,2
4884328.27798441,2075531.08715699,111848000911,No oficial,Privado - regimen especial,Urbana,
4886002.62470943,2084446.28810987,111848001046,No oficial,Privado,Urbana,3
4885279.60504377,2077890.73554862,111848002522,Oficial,Oficial - regimen especial,Urbana,6
4885296.51044072,2078226.02893566,111848002662,Oficial,Distrital,Urbana,6
4885576.7560222,2080123.72819033,111848000112,Oficial,Distrital,Urbana,4
4886099.71791682,2083987.15312634,111848002671,Oficial,Distrital,Urbana,3
4886042.54610866,2084674.9638407,111848000252,Oficial,Distrital,Urbana,3
4886066.62703174,2081844.09553965,111848002689,Oficial,Distrital,Urbana,3
4886362.07201891,2081823.57119546,111848000091,Oficial,Distrital,Urbana,3
4886421.50848971,2081772.54853845,111848000058,Oficial,Distrital,Urbana,3
4886277.86622651,2082029.8291087,111848003031,Oficial,Distrital,Urbana,3
4886760.66222487,2081703.95497724,111001046949,Oficial,Distrital,Urbana,2
4887004.15754749,2082229.04144049,111848000074,Oficial,Distrital,Urbana,
4886044.15788822,2081257.45384946,111848003910,Oficial,Distrital,Urbana,3
4884611.41175419,2080984.49230153,311001000735,No oficial,Privado,Urbana,
4885886.88554129,2082549.02522667,311001002452,No oficial,Privado,Urbana,3
4884575.06072481,2082987.25091285,311001003271,No oficial,Privado,Urbana,
4884386.98415068,2083462.1425346,311001010781,No oficial,Privado,Urbana,4
4886044.09437521,2081969.42351249,311001017891,No oficial,Privado,Urbana,3
4885153.48711213,2078091.5481257,311001033633,No oficial,Privado - regimen especial,Urbana,6
4885504.58803319,2084354.80147047,311001036489,No oficial,Privado,Urbana,3
4886030.71989687,2081871.40373502,311001039054,No oficial,Privado,Urbana,3
4883539.99226791,2076411.54940856,311001039402,No oficial,Privado,Urbana,6
4886032.94006609,2081166.22265839,311001041334,No oficial,Privado,Urbana,3
4884186.03552033,2081580.14031595,311001042438,No oficial,Privado,Urbana,4
4885166.7494215,2075957.85816769,311001044503,No oficial,Privado - regimen especial,Urbana,4
4885954.29249668,2084811.29191198,311001044783,No oficial,Privado,Urbana,3
4886023.15306792,2084375.77298341,311001046743,No oficial,Privado,Urbana,3
4884176.07689894,2082997.31485641,311001047278,No oficial,Privado,Urbana,3
4884100.99090273,2080074.70708354,311001047944,No oficial,Privado,Urbana,4
4886606.81676574,2082767.75564322,311001048002,No oficial,Privado,Urbana,2
4885671.85450565,2081610.00127771,311001075522,No oficial,Privado,Urbana,3
4883902.54580948,2082033.02772543,311001076031,No oficial,Privado,Urbana,4
4886442.59891996,2084696.13129083,311001078092,No oficial,Privado,Urbana,2
4886395.74070311,2082258.1805651,311001078734,No oficial,Privado,Urbana,1
4884052.52915572,2080082.12790181,311001079803,No oficial,Privado,Urbana,4
4884002.2540674,2081927.18291194,311001080313,No oficial,Privado,Urbana,3
4886250.21035621,2080576.25940864,311001087725,No oficial,Privado,Urbana,3
4883902.6560145,2081787.48553798,311001088985,No oficial,Privado,Urbana,4
4883883.54015275,2079632.89824043,311001092923,No oficial,Privado,Urbana,5
4884966.46409953,2080304.20200517,311001092940,No oficial,Privado,Urbana,4
4885720.6480753,2081769.84411435,311001093971,No oficial,Privado,Urbana,3
4886376.05847017,2080940.24424128,311001095213,No oficial,Privado,Urbana,3
4885800.07012786,2084008.96194802,311001095701,No oficial,Privado,Urbana,3
4884605.18889721,2082094.50781995,311001098336,No oficial,Privado,Urbana,3
4885821.97544339,2084307.72710007,311001098671,No oficial,Privado,Urbana,2
4885886.87678645,2084381.84033022,311001098701,No oficial,Privado,Urbana,2
4885084.76048186,2080703.64518442,311001101591,No oficial,Privado,Urbana,4
4885044.00442299,2077267.94978285,311001104069,No oficial,Privado,Urbana,6
4886235.90597386,2081688.83369763,311001104441,No oficial,Privado,Urbana,3
4886040.33491255,2076789.20940498,311001107289,No oficial,Privado,Urbana,6
4885220.02169425,2084718.65883127,311001107556,No oficial,Privado,Urbana,3
4883451.96069701,2078498.28705372,311001107599,No oficial,Privado,Urbana,5
4886110.93743395,2080003.19429704,311001108129,No oficial,Privado,Urbana,4
4884250.80646095,2079400.36268681,311001108366,No oficial,Privado,Urbana,5
4884336.27418667,2084605.99803305,311001108790,No oficial,Privado,Urbana,2
4885725.01301226,2079150.67602815,311001108854,No oficial,Privado,Urbana,4
4884179.89894581,2076391.15311397,311001109460,No oficial,Privado,Urbana,6
4886015.80616001,2084009.8166658,311001109729,No oficial,Privado,Urbana,3
4885886.87788198,2084381.84032859,311001110492,No oficial,Privado,Urbana,3
4884347.06290437,2081219.48883387,311001110581,No oficial,Privado,Urbana,4
4884622.0877921,2077027.85643391,311001800081,No oficial,Privado,Urbana,6
4885723.57255515,2079981.90327934,311001800171,No oficial,Privado,Urbana,4
4886289.27071152,2081116.85963232,311001800316,No oficial,Privado,Urbana,3
4885009.59355531,2084280.80227078,311001800499,No oficial,Privado,Urbana,3
4884647.55512544,2079436.45350326,311001800588,No oficial,Privado,Urbana,5
4883902.54580948,2082033.02772543,311001800898,No oficial,Privado,Urbana,4
4884611.41175419,2080984.49230153,311001801135,No oficial,Privado,Urbana,
4884878.61912968,2082316.53997241,311001801305,No oficial,Privado,Urbana,
4884292.49955093,2077269.22717547,311001801381,No oficial,Privado,Urbana,
4885440.67714479,2084712.63957014,311769002214,No oficial,Privado,Urbana,3
4886163.05336649,2076738.59034842,311848000286,No oficial,Privado,Urbana,3
4883643.3148334,2078891.5249653,311848000294,No oficial,Privado,Urbana,6
4886009.96981049,2082958.1396807,311848000308,No oficial,Privado,Urbana,
4886258.11052299,2082049.49698178,311848000341,No oficial,Privado,Urbana,1
4886112.45080911,2081790.1512682,311848000456,No oficial,Privado,Urbana,2
4886252.52341254,2079944.49364204,311848000481,No oficial,Privado,Urbana,6
4886653.51695153,2077823.48450501,311848000499,No oficial,Privado,Urbana,2
4886595.50522455,2081967.81575759,311848000588,No oficial,Privado,Urbana,3
4883620.10926351,2079315.2612311,311848000618,No oficial,Privado,Urbana,
4886302.84066382,2080600.55440566,311848000626,No oficial,Privado,Urbana,3
4883981.94336875,2081214.91961781,311848000634,No oficial,Privado,Urbana,4
4884878.71320454,2082906.962459,311848000693,No oficial,Privado,Urbana,
4885772.95428243,2085148.07996344,311848000782,No oficial,Privado,Urbana,4
4883695.93758664,2076323.81820166,311848000791,No oficial,Privado,Urbana,
4885951.25452254,2078256.13502748,311848000812,No oficial,Privado,Urbana,4
4885261.66475146,2080056.85685309,311848000821,No oficial,Privado,Urbana,4
4885681.90096455,2090711.79190754,311848000847,No oficial,Privado,Rural,
4885504.58803319,2084354.80147047,311848000936,No oficial,Privado,Urbana,3
4883489.48818279,2078510.28124427,311848000995,No oficial,Privado,Urbana,5
4884270.92664775,2081314.99800026,311848001011,No oficial,Privado,Urbana,4
4886173.19900847,2081571.50378272,311848002084,No oficial,Privado,Urbana,3
4883429.28590455,2078241.74181442,311848002262,No oficial,Privado,Urbana,5
4885406.64282104,2082820.90659093,311848002271,No oficial,Privado,Urbana,
4884503.60893223,2081007.66429029,311848002351,No oficial,Privado,Urbana,4
4886650.20572304,2082361.07314665,311848002416,No oficial,Privado,Urbana,3
4885082.76249292,2085222.30383209,311848002424,No oficial,Privado,Urbana,2
4884584.86522916,2082935.1743003,311848002432,No oficial,Privado,Urbana,3
4886457.98551125,2083328.88508508,311848002459,No oficial,Privado,Urbana,2
4886489.02706632,2083154.89576514,311848002513,No oficial,Privado,Urbana,2
4884218.59373593,2081465.80596346,311848002611,No oficial,Privado,Urbana,
4885528.9106536,2084401.90013609,311848002866,No oficial,Privado,Urbana,2
4884591.62723076,2083310.0989139,311848002874,No oficial,Privado,Urbana,3
4885724.6826463,2076203.93285552,311848003102,No oficial,Privado,Urbana,6
4884367.11591479,2083581.49983621,311848003463,No oficial,Privado,Urbana,3
4884754.25314161,2081833.44918671,311848003633,No oficial,Privado,Urbana,3
4884212.13822882,2080476.85053583,311848003714,No oficial,Privado,Urbana,4
4883615.64263067,2078484.940935,311848004206,No oficial,Privado,Urbana,5
4884926.83231334,2084670.58925909,311848004311,No oficial,Privado,Urbana,3
4886179.82080629,2081027.7897884,311848004672,No oficial,Privado,Urbana,3
4885864.9154733,2082352.79549625,411001108271,No oficial,Privado,Urbana,
4882336.25437812,2072389.49211631,111001016314,Oficial,Distrital,Urbana,4
