patron,nx,celdas,media,dispersion,chi2,gl,p_valor,esperanza_min,celdas_esperanza_baja,rechaza
bogota_urbana,2,4,526.75,125.0098085746,48.2322130328,3,3.8009e-10,234.4136884257,0,1
bogota_urbana,3,9,234.1111111111,161.7046748932,122.0714755786,8,2.4755e-22,1.8989737019,1,1
bogota_urbana,4,14,150.5,131.6266291848,137.3329359242,13,1.43919e-22,2.0001089647,2,1
bogota_urbana,5,19,110.8947368421,76.2273374466,204.7485305334,18,2.24602e-33,5.8366213965,0,1
bogota_urbana,6,25,84.28,65.1632653061,275.3183226617,24,3.00602e-44,0.4929945306,3,1
bogota_urbana,8,44,47.8863636364,35.5125771239,329.8276913369,43,1.40025e-45,0.9794700579,7,1
bogota_urbana,10,65,32.4153846154,25.9096612482,456.1208854882,64,3.1862e-60,0.102902338,12,1
bogota_urbana,12,86,24.5,17.9032412965,521.3548966182,85,1.25523e-63,0.0341513459,14,1
bogota_urbana,15,131,16.0839694656,13.1942535869,689.4772273665,130,9.28388e-77,0.0060587837,26,1
bogota_urbana,20,221,9.5339366516,8.6785649566,924.8550543528,220,8.2777e-87,0.0016909925,57,1
