patron,x,y
cells,0.35,0.025
cells,0.487,0.087
cells,0.637,0.05
cells,0.775,0.025
cells,0.825,0.125
cells,0.087,0.187
cells,0.237,0.15
cells,0.4,0.162
cells,0.575,0.212
cells,0.737,0.237
cells,0.062,0.362
cells,0.212,0.337
cells,0.325,0.287
cells,0.45,0.287
cells,0.65,0.362
cells,0.9,0.262
cells,0.337,0.462
cells,0.462,0.425
cells,0.6,0.475
cells,0.8,0.387
cells,0.938,0.4
cells,0.15,0.5
cells,0.35,0.6
cells,0.562,0.575
cells,0.725,0.512
cells,0.862,0.525
cells,0.987,0.512
cells,0.062,0.75
cells,0.175,0.65
cells,0.337,0.75
cells,0.462,0.75
cells,0.525,0.65
cells,0.737,0.687
cells,0.862,0.637
cells,0.237,0.787
cells,0.637,0.812
cells,0.775,0.85
cells,0.9,0.775
cells,0.175,0.912
cells,0.35,0.962
cells,0.462,0.9
cells,0.625,0.95
japanesepines,0.09,0.09
japanesepines,0.29,0.02
japanesepines,0.38,0.03
japanesepines,0.39,0.18
japanesepines,0.48,0.03
japanesepines,0.59,0.02
japanesepines,0.65,0.16
japanesepines,0.67,0.13
japanesepines,0.73,0.13
japanesepines,0.79,0.03
japanesepines,0.86,0.13
japanesepines,0.89,0.08
japanesepines,0.98,0.02
japanesepines,0.02,0.18
japanesepines,0.11,0.31
japanesepines,0.42,0.22
japanesepines,0.48,0.13
japanesepines,0.62,0.21
japanesepines,0.73,0.23
japanesepines,0.89,0.23
japanesepines,0.02,0.41
japanesepines,0.03,0.44
japanesepines,0.07,0.42
japanesepines,0.52,0.42
japanesepines,0.64,0.43
japanesepines,0.08,0.59
japanesepines,0.08,0.63
japanesepines,0.12,0.63
japanesepines,0.12,0.66
japanesepines,0.17,0.58
japanesepines,0.31,0.53
japanesepines,0.32,0.52
japanesepines,0.42,0.49
japanesepines,0.52,0.52
japanesepines,0.91,0.52
japanesepines,0.94,0.58
japanesepines,0.34,0.68
japanesepines,0.37,0.68
japanesepines,0.47,0.67
japanesepines,0.52,0.67
japanesepines,0.59,0.67
japanesepines,0.66,0.68
japanesepines,0.76,0.66
japanesepines,0.73,0.73
japanesepines,0.89,0.74
japanesepines,0.94,0.78
japanesepines,0.98,0.79
japanesepines,0.97,0.86
japanesepines,0.12,0.84
japanesepines,0.11,0.94
japanesepines,0.17,0.95
japanesepines,0.21,0.79
japanesepines,0.29,0.84
japanesepines,0.32,0.83
japanesepines,0.35,0.86
japanesepines,0.39,0.79
japanesepines,0.52,0.93
japanesepines,0.58,0.83
japanesepines,0.69,0.93
japanesepines,0.77,0.93
japanesepines,0.36,0.97
japanesepines,0.36,0.96
japanesepines,0.39,0.96
japanesepines,0.43,0.96
japanesepines,0.62,0.97
redwood,0.36,-0.08
redwood,0.44,-0.1
redwood,0.48,-0.08
redwood,0.48,-0.14
redwood,0.5,-0.1
redwood,0.76,-0.14
redwood,0.78,-0.12
redwood,0.78,-0.16
redwood,0.84,-0.08
redwood,0.86,-0.18
redwood,0.9,-0.08
redwood,0.9,-0.1
redwood,0.9,-0.16
redwood,0.9,-0.2
redwood,0.18,-0.4
redwood,0.18,-0.38
redwood,0.2,-0.42
redwood,0.6,-0.34
redwood,0.62,-0.34
redwood,0.64,-0.36
redwood,0.64,-0.28
redwood,0.68,-0.32
redwood,0.68,-0.24
redwood,0.7,-0.28
redwood,0.72,-0.26
redwood,0.1,-0.58
redwood,0.12,-0.58
redwood,0.12,-0.62
redwood,0.14,-0.58
redwood,0.18,-0.56
redwood,0.18,-0.54
redwood,0.2,-0.52
redwood,0.2,-0.5
redwood,0.22,-0.46
redwood,0.24,-0.48
redwood,0.52,-0.58
redwood,0.5,-0.6
redwood,0.58,-0.58
redwood,0.94,-0.52
redwood,0.96,-0.54
redwood,0.22,-0.8
redwood,0.22,-0.84
redwood,0.26,-0.7
redwood,0.44,-0.76
redwood,0.48,-0.78
redwood,0.5,-0.76
redwood,0.9,-0.76
redwood,0.9,-0.78
redwood,0.48,-0.68
redwood,0.52,-0.66
redwood,0.56,-0.64
redwood,0.999,-0.84
redwood,0.44,-0.82
redwood,0.48,-0.82
redwood,0.34,-0.84
redwood,0.38,-0.84
redwood,0.26,-0.86
redwood,0.4,-0.86
redwood,0.28,-0.86
redwood,0.74,-0.9
redwood,0.86,-0.9
redwood,0.96,-0.96
