x,y,sector,localidad,s11_n
4884803.20621986,2084693.67437255,Oficial,Usaquen,284
4886467.93993884,2080703.96840593,Oficial,Usaquen,228
4887181.2234202,2081021.90380964,Oficial,Usaquen,
4887348.84168712,2081300.40800303,Oficial,Usaquen,
4886429.18491575,2081134.12709225,Oficial,Usaquen,
4886569.80673292,2082865.41852538,Oficial,Usaquen,106
4886313.2500352,2083933.70796831,Oficial,Usaquen,
4884764.74809563,2082449.02292958,Oficial,Usaquen,326
4885183.60903179,2082181.13510846,Oficial,Usaquen,
4884657.21817335,2082187.51635079,Oficial,Usaquen,
4886283.59550696,2084816.0324567,Oficial,Usaquen,146
4886443.21529605,2084825.96863348,Oficial,Usaquen,
4886478.94307295,2084541.55192512,Oficial,Usaquen,132
4884663.70671815,2083845.6071719,Oficial,Usaquen,250
4884328.27798441,2075531.08715699,No oficial,Usaquen,232
4886002.62470943,2084446.28810987,No oficial,Usaquen,
4885279.60504377,2077890.73554862,Oficial,Usaquen,222
4885296.51044072,2078226.02893566,Oficial,Usaquen,298
4885576.7560222,2080123.72819033,Oficial,Usaquen,
4886099.71791682,2083987.15312634,Oficial,Usaquen,136
4886042.54610866,2084674.9638407,Oficial,Usaquen,
4886066.62703174,2081844.09553965,Oficial,Usaquen,246
4886362.07201891,2081823.57119546,Oficial,Usaquen,
4886421.50848971,2081772.54853845,Oficial,Usaquen,
4886277.86622651,2082029.8291087,Oficial,Usaquen,224
4886760.66222487,2081703.95497724,Oficial,Usaquen,
4887004.15754749,2082229.04144049,Oficial,Usaquen,
4886044.15788822,2081257.45384946,Oficial,Usaquen,142
4884611.41175419,2080984.49230153,No oficial,Usaquen,138
4885886.88554129,2082549.02522667,No oficial,Usaquen,52
4884575.06072481,2082987.25091285,No oficial,Usaquen,94
4884386.98415068,2083462.1425346,No oficial,Usaquen,150
4886044.09437521,2081969.42351249,No oficial,Usaquen,98
4885153.48711213,2078091.5481257,No oficial,Usaquen,
4885504.58803319,2084354.80147047,No oficial,Usaquen,
4886030.71989687,2081871.40373502,No oficial,Usaquen,
4883539.99226791,2076411.54940856,No oficial,Usaquen,
4886032.94006609,2081166.22265839,No oficial,Usaquen,
4884186.03552033,2081580.14031595,No oficial,Usaquen,
4885166.7494215,2075957.85816769,No oficial,Usaquen,
