r,obs,lo,hi,mmean
0,0,0,0,0
58.6811573301698,25930.1472766989,6704.75001274034,15716.6209936489,10870.4041212233
117.36231466034,82082.0794062786,35361.3379165131,52271.7748312164,43165.0315319004
176.043471990509,179581.808260992,85579.2834844687,108422.740957919,97323.1924467938
234.724629320679,297882.324478665,155952.170677465,190763.914195898,173703.286754082
293.405786650849,435899.475913578,249299.370934042,294117.598912459,271800.040640837
352.086943981019,609485.242211551,363625.537066929,423517.714193466,391960.105238225
410.768101311189,799905.536484555,500988.87369358,565042.056684621,533418.013365756
469.449258641359,1014132.02446774,661109.291055067,735177.877316284,695866.109196483
528.130415971528,1256661.6899307,843845.385510114,922981.196200264,881028.283890378
586.811573301698,1522270.27668624,1040824.14261537,1130923.84187432,1087791.8048675
645.492730631868,1817804.79541693,1264400.14096558,1361672.06572732,1316051.53799524
704.173887962038,2142100.53024407,1514302.56368595,1623706.17772629,1566013.42996767
762.855045292208,2477933.72192435,1780882.49823183,1902689.15693228,1837217.09054158
821.536202622377,2833511.54863809,2065342.33046054,2203325.8869164,2130252.98774149
880.217359952547,3208192.17671007,2383089.74074262,2524640.1244025,2445614.96040901
938.898517282717,3607372.42139441,2712381.62247653,2869550.26720009,2782580.57477997
997.579674612887,3999396.85130594,3069537.44180889,3232378.03906185,3140957.06838841
1056.26083194306,4426269.49666634,3437505.75331275,3615703.25098241,3520816.75139544
1114.94198927323,4880557.11856383,3842373.71770892,4017395.54184736,3922018.49993988
1173.6231466034,5358442.65955322,4258740.5108752,4448121.41351852,4345108.02457905
1232.30430393357,5849717.42267505,4700115.15651179,4899363.16229331,4789954.66107254
1290.98546126374,6355574.43175686,5159450.73074682,5368662.90834574,5257112.29413787
1349.66661859391,6875930.04429318,5639539.07732708,5858287.94859057,5744839.38582035
1408.34777592408,7400770.74064115,6138731.61897554,6377783.67825827,6254099.14026493
1467.02893325425,7960363.97839301,6658420.89302494,6925563.50210394,6785828.40983126
1525.71009058442,8533343.04421188,7203861.15275468,7495233.58096794,7339002.17021341
1584.39124791459,9124635.40927511,7770210.05403354,8076568.56506362,7913240.93976396
1643.07240524475,9737878.1642668,8347232.65277097,8672908.43231925,8510066.04878259
1701.75356257492,10365702.6234983,8952504.98844801,9308268.78711205,9127041.69291324
1760.43471990509,11016232.5022332,9584754.65212283,9955742.85993411,9766206.81279658
1819.11587723526,11693637.8186793,10245620.446857,10646364.4135344,10428367.4015264
1877.79703456543,12414607.2529757,10919500.1095426,11345707.2621292,11111702.4659219
1936.4781918956,13135798.9281844,11615344.3344371,12070425.3448726,11816181.7884576
1995.15934922577,13875394.7046161,12339131.6573376,12824167.8562906,12542285.7135527
2053.84050655594,14607004.3959116,13085439.7540353,13581085.8350732,13289803.3158062
2112.52166388611,15385917.8692021,13846802.4353103,14371977.2080845,14059265.7375315
2171.20282121628,16179161.3380801,14635566.5214105,15192866.3135656,14850957.144664
2229.88397854645,16995116.0527656,15436505.8399886,16021384.6005873,15664146.4736083
2288.56513587662,17807186.2622549,16252165.1513984,16865972.6208643,16497903.5742831
2347.24629320679,18650246.6566893,17099772.1313059,17737237.1609822,17352946.6121906
2405.92745053696,19502389.9365088,17956812.9426843,18618850.3675926,18230722.9508241
2464.60860786713,20389002.9066687,18864471.8682662,19513483.372024,19130579.7654245
2523.2897651973,21311574.0078173,19773256.0756788,20437707.2015896,20052030.271385
2581.97092252747,22240823.4536704,20708293.3814685,21394659.5059771,20994846.968145
2640.65207985764,23178289.8829186,21633909.9636383,22368373.886259,21958148.9321051
2699.33323718781,24128191.9640536,22608040.428937,23374505.4793301,22944186.2745496
2758.01439451798,25103240.419895,23598888.4749414,24411738.0020636,23953751.1541011
2816.69555184815,26125702.3930865,24617200.7959604,25466166.6033654,24983319.4047807
2875.37670917832,27137408.4003757,25659746.4115917,26535574.0942061,26034686.0862594
2934.05786650849,28208145.9714602,26706324.5833294,27636066.1976744,27107444.970315
2992.73902383866,29288799.6945655,27781155.7284133,28758178.2375866,28201731.0718814
3051.42018116883,30400476.0738051,28858502.922493,29891787.9622111,29318150.3850792
3110.101338499,31510871.7177047,29988191.2345592,31065178.0203228,30457684.9136357
3168.78249582917,32621181.5658396,31117675.2863796,32223897.6403484,31616811.4787559
3227.46365315934,33769330.647874,32285903.0192509,33440111.7357922,32798272.2017797
3286.14481048951,34959417.9115165,33472279.2794948,34632994.466634,34000842.6318177
3344.82596781968,36126715.4555223,34657874.2577334,35861999.96279,35226798.0291746
3403.50712514985,37331562.9002821,35869298.3582986,37119154.4293984,36474087.8654394
3462.18828248002,38606223.7427973,37111923.4359644,38390721.604235,37743601.4659442
3520.86943981019,39879895.7060683,38384390.6050327,39696968.6550838,39034420.9927915
3579.55059714036,41174480.683186,39660672.9644856,41037428.2152011,40344586.4024829
3638.23175447053,42487210.534727,40952140.4399588,42416404.0409605,41678443.2037361
3696.9129118007,43804271.5854092,42298243.7682175,43819686.4395402,43034746.1525018
3755.59406913087,45136914.9386828,43665106.1356651,45273273.830061,44412494.4208376
3814.27522646104,46507547.5355356,45069728.4810001,46699331.8766,45811732.4583272
3872.95638379121,47933130.1888714,46465997.8624732,48148286.325996,47231643.6010525
3931.63754112138,49324400.207685,47901277.8901348,49600041.4324764,48671806.5675953
3990.31869845155,50764838.1377744,49389773.1469947,51050360.2214499,50137124.1701375
4048.99985578172,52229083.0641324,50837870.554627,52536543.5151619,51624190.7736348
4107.68101311189,53688172.7461425,52335865.2747347,54060603.6896175,53131290.0971652
4166.36217044206,55187151.1893272,53850056.9638239,55602987.819486,54659765.0165734
4225.04332777223,56693408.5714286,55340161.7060527,57197367.375587,56209999.3724119
4283.7244851024,58251219.7214258,56913655.6201962,58793090.6921933,57783544.3940968
4342.40564243257,59835898.0315276,58523287.2851827,60418753.804337,59378488.2708609
4401.08679976274,61471018.9013744,60121222.520057,62055050.5415131,60995327.3317729
4459.76795709291,63114922.5540709,61748982.8558209,63719566.4120405,62632379.5832233
4518.44911442308,64767384.9239858,63404923.8169697,65430292.9916501,64291975.3830712
4577.13027175325,66416862.0921924,65082460.7376977,67175254.84098,65975146.4336261
4635.81142908341,68079162.8270611,66772322.8160623,68923627.2250668,67678672.1565713
4694.49258641359,69784323.8548969,68416980.0567223,70655942.3391315,69403554.9691327
4753.17374374376,71502019.839421,70157468.2550713,72435399.7229037,71150187.3050094
4811.85490107392,73255908.5498,71866600.0603184,74229890.5566293,72916484.964792
4870.53605840409,75036155.8078622,73646056.912819,76060622.6360907,74705875.8727379
4929.21721573426,76802658.5039998,75440885.0956459,77859904.7190471,76518694.4618552
4987.89837306443,78615765.8012233,77343793.4766972,79715976.0480349,78353188.3279423
5046.5795303946,80426359.9586764,79174087.0886888,81557635.7981894,80207618.3062778
5105.26068772477,82310023.6065222,81033604.9424918,83461927.2394883,82084557.001572
5163.94184505494,84155302.09901,82891846.4678729,85365480.1263948,83983063.7115195
5222.62300238511,85963916.0539851,84753035.3047406,87327443.9605562,85903986.2920056
5281.30415971528,87820017.7149407,86661799.6236437,89280291.0887996,87847850.6153333
5339.98531704545,89683231.88627,88568602.6770852,91253630.7176397,89812347.0893683
5398.66647437562,91602223.2309009,90529783.2406022,93239350.6052527,91796176.2445067
5457.34763170579,93613405.628921,92533901.1344976,95271084.7537854,93803460.685101
5516.02878903596,95559240.243581,94544232.5359248,97294045.9862689,95833806.7991926
5574.70994636613,97512015.9587664,96587746.5509772,99368638.2504319,97886431.3876135
5633.3911036963,99539901.112111,98621713.4966963,101518747.186502,99959535.2418862
5692.07226102647,101525726.816252,100737366.332825,103640220.797629,102054860.064896
5750.75341835664,103530396.461731,102863085.754504,105773663.234392,104170110.702187
5809.43457568681,105576005.78771,104980986.145747,107907763.692574,106308836.296475
5868.11573301698,107566778.63925,107158213.684489,110147214.77562,108471908.838743
