x,y
4868776.19140636,2068484.75309715
4868592.05849944,2068407.62600994
4874045.80028947,2068186.48901664
4874226.81853185,2067031.68121661
4871154.41021508,2071023.01688226
4871209.82247045,2071185.19130694
4871257.39815396,2071263.70458676
4875574.44943786,2069947.94711637
4872885.05662458,2066348.14656041
4872891.71372191,2066339.80402779
4872686.43943683,2068980.73637363
4871066.02427752,2070058.60580535
4870647.84192867,2069702.38945386
4871855.99711988,2068397.3781537
4871497.5324167,2069080.22755495
4872100.12061406,2068777.2297188
4871281.42435922,2068810.19711553
4870117.90043641,2069880.5387817
4869266.58864278,2067962.74808424
4870132.10272441,2067380.43086322
4869824.5365516,2067556.08605818
4871557.79424835,2068791.03073484
4871057.62946148,2068771.18050921
4870743.4190202,2068226.17974749
4871227.87083603,2068289.58369487
4870332.27336231,2067636.80301453
4874998.98029738,2069938.15834631
4875172.03538043,2070305.26055093
4871992.96189906,2067785.42010959
4872431.82274781,2068258.89575052
4873418.82102837,2068374.03446108
4873495.95790652,2067460.35298412
4872165.12207599,2070108.32623976
4872326.97309837,2070259.11002015
4874025.20463859,2066943.07513453
4871578.3121741,2068330.19957834
4872647.44147704,2066814.50469857
4873512.24620555,2068634.27324157
4874107.43433362,2068092.08440392
4872997.7649775,2068587.97305509
4872872.16998003,2068819.02538011
4872763.82402807,2068481.10316587
4869981.18165408,2068301.45839672
4871774.63376721,2069128.92770248
4872190.21689389,2069328.60634979
4872302.41894886,2068815.80650682
4872371.46553637,2069088.12528428
4869390.05800331,2068230.86923799
4869944.72278436,2069198.98845
4869942.81550493,2069234.64624037
4870600.83215727,2070455.84446356
4871063.16502531,2067392.06709476
4870888.32699017,2067319.20934965
4871349.95709354,2070879.2380327
4875006.27392173,2068681.45477375
4874962.32124053,2068653.34545008
4873153.43633761,2070589.5414882
4874124.53147774,2071999.03066175
4873392.40730898,2070866.78697984
4870588.55178834,2067041.2875059
4870690.73905586,2067629.33576751
4873192.06764018,2067254.54524931
4873487.32180554,2066786.02983485
4870555.48775197,2070852.42364761
4870321.711903,2070902.10077281
4870788.80843657,2070817.79103452
4869921.44800148,2071414.68091257
4869735.95656712,2071006.06999355
4870021.56376263,2070253.18133743
4869664.89069788,2069230.56864502
4871852.72493386,2071356.02240256
4872749.7836822,2072432.01851263
4870751.31942818,2071726.48141188
4873640.89549763,2071766.84460232
4873661.366435,2072208.79475188
4870967.13064018,2071078.22293688
4869395.94251843,2070392.25555579
4869767.04739319,2070123.83031613
4872989.97298447,2070188.04732179
4874764.76493245,2068808.77292411
4871823.61984491,2072700.06768169
4869664.89415904,2068313.08724237
4871808.7179143,2067080.87937094
4870004.10128553,2070071.94540137
4873679.52938183,2071009.58383074
4872706.36978575,2068748.3371795
4872767.20315238,2070051.1346623
4872005.56954203,2068523.27357877
4872405.30198071,2067355.26898238
4874640.00337641,2069961.91637867
4871385.70488557,2068834.80014739
4871730.70433351,2067344.67611122
4872526.33770676,2069416.20902652
4874066.96597796,2069305.1894929
4871974.45266033,2068384.6048292
4873170.17038806,2066156.99743977
4874177.49501546,2069350.55626535
4873108.02437705,2069379.90338161
4874677.36784784,2067640.98442622
4872074.26132204,2067770.31958058
4871033.0119392,2068508.02474827
4873384.74559378,2067679.12820409
4872848.3259345,2068035.54313108
4874474.10112445,2069099.59843731
4872000.70420468,2069430.35401231
4873186.765866,2069624.97888812
4873754.49641939,2066686.91879836
4871750.27817017,2069002.81324944
4872901.11783693,2068976.65044198
4873225.1603713,2069149.20286173
4871098.59673693,2068686.17562775
4874900.49195054,2069487.35227415
4870003.20759502,2067386.45330052
4869856.83269735,2067824.58016754
4870422.05430946,2068040.69814901
4870332.7557965,2068017.13171112
4870900.87219995,2070311.19695883
4874111.37729713,2067275.46801387
4870486.03554174,2067641.13510454
4870746.31740233,2070460.1651803
4869883.04727227,2067644.03805567
4869983.16505087,2068528.54695598
4870006.32291441,2069038.14776058
4870310.25349695,2067957.4348135
4870684.44995709,2070572.20724051
4870947.82160131,2070621.70778082
4872555.91384104,2066467.75097193
4873291.89147248,2070456.86596795
4869694.26977888,2067286.9282857
4871567.97063096,2070867.41278108
4874128.29757123,2066863.54856527
4872944.49912748,2068540.27663291
4874094.35682389,2069575.19290712
4874795.82126891,2068375.52420281
4871905.67996762,2067786.32742698
4875121.63271972,2070222.49096737
