divipola,municipio,departamento,desercion,wy,vecinos
05667,San Rafael,Antioquia,2.95,2.9825,4
05670,San Roque,Antioquia,3.31,2.7128571429,7
05674,San Vicente,Antioquia,2.84,3.5842857143,7
05679,Santa Bárbara,Antioquia,3.09,3.3485714286,7
05697,El Santuario,Antioquia,3.55,3.252,5
05736,Segovia,Antioquia,7.66,4.4816666667,6
05756,Sonson,Antioquia,3.27,3.6185714286,14
05761,Sopetrán,Antioquia,3.44,4.13,5
05789,Támesis,Antioquia,1.41,2.5142857143,7
05790,Tarazá,Antioquia,6.57,5.544,5
05792,Tarso,Antioquia,1.62,3.174,5
05809,Titiribí,Antioquia,2.69,3.56,5
05842,Uramita,Antioquia,6.73,3.4825,4
05854,Valdivia,Antioquia,3.59,4.284,5
05856,Valparaíso,Antioquia,1.73,2.6375,4
05858,Vegachí,Antioquia,4.44,4.7425,4
05861,Venecia,Antioquia,4.24,3.225,6
05885,Yalí,Antioquia,3.55,4.61,3
05887,Yarumal,Antioquia,2.26,3.6375,8
05890,Yolombó,Antioquia,2.86,3.8645454545,11
05895,Zaragoza,Antioquia,3.38,5.6666666667,6
08001,Barranquilla,Atlántico,1.65,3.018,5
08078,Baranoa,Atlántico,2.36,2.91,8
08137,Campo de la Cruz,Atlántico,3.32,3.11875,8
08141,Candelaria,Atlántico,4.92,2.87,4
08296,Galapa,Atlántico,3.26,2.33,6
08372,Juan de Acosta,Atlántico,3.78,2.2025,4
08421,Luruaco,Atlántico,3.28,2.025,4
08433,Malambo,Atlántico,1.97,3.1733333333,6
08436,Manatí,Atlántico,1.86,2.7116666667,6
08520,Palmar de Varela,Atlántico,2.58,3.1125,4
08549,Piojó,Atlántico,2.35,2.788,5
08558,Polonuevo,Atlántico,3.87,2.4533333333,6
08560,Ponedera,Atlántico,3.97,2.9111111111,9
08573,Puerto Colombia,Atlántico,3.03,2.3966666667,3
08606,Repelón,Atlántico,0.69,2.3725,8
08634,Sabanagrande,Atlántico,3.03,2.6825,4
08638,Sabanalarga,Atlántico,2.33,2.7911111111,9
08675,Santa Lucía,Atlántico,1.83,2.218,5
08685,Santo Tomás,Atlántico,1.06,3.456,5
08758,Soledad,Atlántico,2.69,2.6775,4
08770,Suan,Atlántico,0.62,3.385,4
08832,Tubará,Atlántico,2.28,2.816,5
08849,Usiacurí,Atlántico,1.82,2.705,4
13006,Achí,Bolívar,3.94,4.115,8
13030,Altos del Rosario,Bolívar,3.91,4.45,3
13042,Arenal,Bolívar,2.43,4.39,3
13052,Arjona,Bolívar,2.84,3.115,6
13062,Arroyohondo,Bolívar,4.87,2.465,2
13074,Barranco de Loba,Bolívar,5.76,4.095,6
15183,Chita,Boyacá,2.83,2.8771428571,7
15185,Chitaraque,Boyacá,5.17,3.692,5
15187,Chivatá,Boyacá,2.16,2.585,6
15189,Ciénega,Boyacá,1.63,2.8125,4
15204,Cómbita,Boyacá,3.24,2.2614285714,7
15212,Coper,Boyacá,1.86,3.075,6
15215,Corrales,Boyacá,2.72,2.2728571429,7
15218,Covarachía,Boyacá,1.39,1.802,5
15223,Cubará,Boyacá,4.97,2.4385714286,7
15224,Cucaita,Boyacá,1.4,1.8166666667,3
15226,Cuítiva,Boyacá,1.31,2.418,5
15232,Chíquiza,Boyacá,1.41,1.91,6
15236,Chivor,Boyacá,3,1.8316666667,6
15238,Duitama,Boyacá,2.22,2.555,6
15244,El Cocuy,Boyacá,1.21,2.0342857143,7
15248,El Espino,Boyacá,0.69,1.138,5
15272,Firavitoba,Boyacá,1.78,2.6166666667,6
15276,Floresta,Boyacá,3.35,2.2033333333,6
15293,Gachantivá,Boyacá,4.33,2.6,4
15296,Gameza,Boyacá,1.8,1.892,5
15299,Garagoa,Boyacá,1.66,1.8877777778,9
15317,Guacamayas,Boyacá,0.97,1.235,4
15322,Guateque,Boyacá,1.87,1.6271428571,7
15325,Guayatá,Boyacá,2.52,2.0342857143,7
15332,Güicán,Boyacá,0.46,2.91875,8
15362,Iza,Boyacá,3.59,1.546,5
15367,Jenesano,Boyacá,0.86,2.175,4
15368,Jericó,Boyacá,2.1,2.684,5
15377,Labranzagrande,Boyacá,2.49,2.395,6
15380,La Capilla,Boyacá,0.89,1.665,6
15401,La Victoria,Boyacá,0.65,2.355,2
15403,La Uvita,Boyacá,0.51,2.245,6
15407,Villa de Leyva,Boyacá,2.1,2.7116666667,6
15425,Macanal,Boyacá,2.51,1.9183333333,6
15442,Maripí,Boyacá,2.04,2.2766666667,6
15455,Miraflores,Boyacá,2.59,1.6257142857,7
15464,Mongua,Boyacá,2.02,2.21875,8
15466,Monguí,Boyacá,0.93,2.0066666667,3
15469,Moniquirá,Boyacá,3.67,3.325,8
15476,Motavita,Boyacá,1.64,1.898,5
15480,Muzo,Boyacá,1.56,2.2766666667,6
15494,Nuevo Colón,Boyacá,0.84,1.5516666667,6
15500,Oicatá,Boyacá,3.69,2.6825,4
15507,Otanche,Boyacá,2.51,2.5233333333,9
15511,Pachavita,Boyacá,1.82,1.534,5
15514,Páez,Boyacá,2.13,2.916,10
15516,Paipa,Boyacá,2.94,2.3842857143,7
15518,Pajarito,Boyacá,1.54,3.5733333333,6
15522,Panqueba,Boyacá,2,0.876,5
15531,Pauna,Boyacá,2.86,1.8457142857,7
15533,Paya,Boyacá,0.47,3.404,5
15537,Paz de Río,Boyacá,1.86,2.1542857143,7
15542,Pesca,Boyacá,0.79,2.0588888889,9
15550,Pisba,Boyacá,3.2,2.382,5
