orden,polyid,CRIME,HOVAL,INC,CP,X,Y,z,wz,Ii,p_rangos,cuadrante,lisa,lisa_bonferroni,lisa_fdr,gistar_z,gistar_p,gistar
1,2,18.801754,44.567001,21.232,0,35.619999,42.380001,-0.9757936909,-0.5308352068,0.5287770133,0.1686,Low-Low,1,1,1,-1.3400080975,0.1682,4
2,4,32.38776,33.200001,4.477,0,36.5,40.52,-0.1638207513,-0.0288277249,0.0048209666,0.47104,Low-Low,1,1,1,-0.1317333645,0.47152,4
3,8,38.425858,37.125,11.337,0,36.709999,38.709999,0.1970485271,0.3807238749,0.0765840179,0.15884,High-High,1,1,1,1.0130239506,0.16276,4
4,7,0.178269,75,8.438,0,33.360001,38.41,-2.0888335247,0.8725521604,-1.8605873756,0.0384,Low-High,5,1,1,0.6613648377,0.03728,6
5,1,15.72598,80.467003,19.531,0,38.799999,44.07,-1.1596185218,-0.622430019,0.7368184906,0.18704,Low-Low,1,1,1,-1.432779654,0.18336,4
6,3,30.626781,26.35,15.956,0,39.82,41.18,-0.2690663471,-0.3416830882,0.0938507417,0.24184,Low-Low,1,1,1,-0.771998681,0.24328,4
7,5,50.73151,23.225,11.252,0,40.009998,38,0.9325006112,0.318938216,0.3036061248,0.15136,High-High,1,1,1,1.2853627984,0.14848,4
8,6,26.066658,28.75,16.028999,0,43.75,39.279999,-0.5416038741,0.328404217,-0.1815705169,0.32592,Low-High,1,1,1,0.0686480438,0.32536,4
9,15,48.585487,18,9.873,1,39.610001,34.91,0.8042427109,0.8950620074,0.7348439097,0.0072,High-High,2,1,2,2.5207759181,0.0078,7
10,10,34.000835,96.400002,13.598,0,47.610001,36.419998,-0.0674146958,-0.5857271072,0.0403092525,0.11772,Low-Low,1,1,1,-1.1375276634,0.1184,4
11,17,36.868774,41.75,9.798,0,48.580002,34.459999,0.1039887955,-1.0182694711,-0.1080946286,0.03608,High-Low,4,1,1,-1.5395877595,0.03428,2
12,23,20.048504,47.733002,21.155001,0,49.610001,32.650002,-0.9012811916,-0.9791226032,0.9008494695,0.03616,Low-Low,3,1,1,-2.0028120252,0.03756,2
13,32,19.145592,40.299999,18.941999,0,50.110001,29.91,-0.9552440789,-1.2714571066,1.2398550367,0.00244,Low-Low,3,1,3,-2.8510231766,0.00264,1
14,41,18.905146,42.099998,22.207001,0,51.240002,27.799999,-0.9696144277,-0.840236026,0.8316779938,0.06488,Low-Low,1,1,1,-1.8210729567,0.0648,3
15,47,27.822861,42.5,18.950001,0,50.889999,25.24,-0.4366437178,-1.0492173544,0.4676786283,0.06356,Low-Low,1,1,1,-1.5106014467,0.06,3
16,40,16.241299,61.950001,29.833,0,48.439999,27.93,-1.1288202811,-0.8411580585,0.9692978651,0.01832,Low-Low,3,1,1,-2.324828433,0.01944,2
17,20,0.223797,81.266998,31.07,0,46.73,31.91,-2.086112526,-0.1603184099,0.3414097897,0.22996,Low-Low,1,1,1,-1.2631457747,0.22716,4
18,9,30.515917,52.599998,17.586,0,43.439999,35.919998,-0.2756921772,-0.0991993642,0.0279182489,0.38756,Low-Low,1,1,1,-0.3749489384,0.38976,4
19,22,33.705048,30.450001,11.709,1,43.369999,33.459999,-0.085092521,0.0463337418,-0.0040247935,0.45664,Low-High,1,1,1,0.0787551491,0.45504,4
20,26,40.969742,20.299999,8.085,1,41.130001,33.139999,0.3490847451,0.6619769029,0.2359003309,0.06268,High-High,1,1,1,1.5945823323,0.05964,5
21,27,52.79443,34.099998,10.822,1,43.950001,31.610001,1.0557918284,-0.1150260014,-0.1239735855,0.4318,High-Low,1,1,1,0.2811288538,0.42112,4
22,33,41.968163,23.6,9.918,1,44.099998,30.4,0.408755765,0.1284622593,0.0536036409,0.3864,High-High,1,1,1,0.4354140214,0.3892,4
23,35,39.175053,27,12.814,1,43.700001,29.18,0.2418244581,-0.1213400504,-0.0299543043,0.37508,High-Low,1,1,1,-0.2348266363,0.37616,4
24,38,53.710938,22.700001,11.107,1,41.040001,28.780001,1.110567286,0.5094331234,0.5775464229,0.0846,High-High,1,1,1,1.7012384064,0.08012,5
25,44,25.962263,33.5,16.961,0,43.23,27.309999,-0.5478430819,0.0369617917,-0.0206711215,0.47956,Low-High,1,1,1,-0.1582106212,0.4728,4
26,49,22.541491,35.799999,18.796,0,42.669998,24.959999,-0.7522868527,-0.4731517247,0.3633613598,0.20172,Low-Low,1,1,1,-1.1331046537,0.20084,4
27,48,26.645266,26.799999,11.813,1,41.209999,25.9,-0.5070231416,-0.3932479192,0.2035396661,0.20624,Low-Low,1,1,1,-0.9816419931,0.20672,4
28,45,29.028488,27.733,14.135,1,39.32,25.85,-0.3645889507,-0.1825810324,0.0679538401,0.35052,Low-Low,1,1,1,-0.5167331737,0.35024,4
29,43,36.663612,25.700001,13.38,1,41.09,27.49,0.0917272086,0.0616992043,0.0057774019,0.43036,High-High,1,1,1,0.1885790442,0.4336,4
30,37,42.445076,43.299999,17.017,1,38.32,28.82,0.4372586561,0.948201507,0.4232470108,0.00524,High-High,2,1,2,2.5011199642,0.0054,7
