i,j,i0,j0,polyid_i,polyid_j
1,2,0,1,2,4
1,5,0,4,2,1
1,6,0,5,2,3
2,3,1,2,4,8
2,6,1,5,4,3
2,7,1,6,4,5
3,4,2,3,8,7
3,7,2,6,8,5
3,37,2,36,8,12
3,38,2,37,8,11
3,39,2,38,8,13
4,37,3,36,7,12
4,39,3,38,7,13
4,40,3,39,7,14
5,6,4,5,1,3
6,7,5,6,3,5
7,8,6,7,5,6
7,9,6,8,5,15
7,18,6,17,5,9
7,36,6,35,5,16
7,38,6,37,5,11
8,18,7,17,6,9
9,18,8,17,15,9
9,20,8,19,15,26
9,32,8,31,15,25
9,36,8,35,15,16
9,38,8,37,15,11
10,11,9,10,10,17
10,17,9,16,10,20
10,18,9,17,10,9
10,19,9,18,10,22
11,12,10,11,17,23
11,17,10,16,17,20
12,13,11,12,23,32
12,17,11,16,23,20
13,14,12,13,32,41
13,16,12,15,32,40
13,17,12,16,32,20
14,15,13,14,41,47
14,16,13,15,41,40
15,16,14,15,47,40
16,17,15,16,40,20
16,23,15,22,40,35
17,18,16,17,20,9
17,19,16,18,20,22
17,21,16,20,20,27
17,22,16,21,20,33
17,23,16,22,20,35
18,19,17,18,9,22
18,20,17,19,9,26
19,20,18,19,22,26
19,21,18,20,22,27
19,31,18,30,22,28
20,31,19,30,26,28
20,32,19,31,26,25
21,22,20,21,27,33
21,31,20,30,27,28
22,23,21,22,33,35
22,31,21,30,33,28
23,24,22,23,35,38
23,25,22,24,35,44
23,29,22,28,35,43
23,31,22,30,35,28
24,25,23,24,38,44
24,29,23,28,38,43
24,30,23,29,38,37
24,31,23,30,38,28
24,33,23,32,38,29
25,26,24,25,44,49
25,27,24,26,44,48
25,29,24,28,44,43
26,27,25,26,49,48
26,28,25,27,49,45
27,28,26,27,48,45
27,29,26,28,48,43
28,29,27,28,45,43
28,30,27,29,45,37
29,30,28,29,43,37
30,31,29,30,37,28
30,33,29,32,37,29
30,34,29,33,37,30
31,32,30,31,28,25
31,33,30,32,28,29
32,33,31,32,25,29
32,34,31,33,25,30
32,35,31,34,25,24
32,36,31,35,25,16
33,34,32,33,29,30
33,35,32,34,29,24
34,35,33,34,30,24
34,43,33,42,30,21
35,36,34,35,24,16
35,41,34,40,24,19
35,42,34,41,24,18
35,43,34,42,24,21
36,37,35,36,16,12
36,38,35,37,16,11
36,40,35,39,16,14
36,42,35,41,16,18
37,38,36,37,12,11
37,39,36,38,12,13
37,40,36,39,12,14
37,42,36,41,12,18
39,40,38,39,13,14
40,41,39,40,14,19
40,42,39,41,14,18
41,42,40,41,19,18
43,44,42,43,21,34
44,45,43,44,34,31
44,46,43,45,34,36
44,49,43,48,34,42
45,46,44,45,31,36
46,47,45,46,36,39
46,48,45,47,36,46
46,49,45,48,36,42
47,48,46,47,39,46
