celda,x,y,val,G30,G30_estrella
1,0,0,40,-1.8151352849,-2.2297095585
2,30,0,41,-2.155810174,-2.4897529642
3,60,0,42,-2.126657618,-2.440663565
4,90,0,43,-1.9560155328,-2.2688506679
5,120,0,49,-1.6973068204,-1.9006801741
6,150,0,54,-1.5531860849,-1.6552331783
7,180,0,47,-1.5854375401,-1.851590775
8,210,0,44,-1.955258399,-2.2443059683
9,240,0,42,-1.9851024907,-2.3179400671
10,270,0,44,-2.0401538344,-2.3179400671
11,300,0,43,-1.8994062988,-2.2197612688
12,330,0,46,-1.5860692302,-1.8761354746
13,360,0,52,-1.1021020995,-1.3116073841
14,390,0,56,-0.8460417958,-0.9925262895
15,420,0,56,-0.8460417958,-0.9925262895
16,450,0,61,-0.5267518545,-0.5891383234
17,0,30,40,-2.1283478423,-2.4897529642
18,30,30,42,-2.5260511976,-2.7946672859
19,60,30,41,-2.5270325746,-2.8166644211
20,90,30,40,-2.4051448923,-2.7286758803
21,120,30,43,-2.1321133516,-2.4207159875
22,150,30,49,-2.0046694241,-2.1787475004
23,180,30,46,-2.1541778935,-2.3767217171
24,210,30,42,-2.2803826028,-2.5746959339
25,240,30,42,-2.4032169002,-2.6846816099
26,270,30,43,-2.32860374,-2.5966930691
27,300,30,43,-2.2057972473,-2.4867073931
28,330,30,49,-1.6121440485,-1.8267933372
29,360,30,59,-0.9202901348,-0.9909021996
30,390,30,62,-0.9189796411,-0.924910794
31,420,30,53,-0.8741086328,-1.0788907404
32,450,30,62,-0.674286038,-0.6979898945
33,0,60,43,-2.0975386178,-2.3915741659
34,30,60,42,-2.4769174786,-2.7506730155
35,60,60,40,-2.5280383214,-2.8386615563
36,90,60,42,-2.5260511976,-2.7946672859
37,120,60,42,-2.3540831813,-2.6406873395
38,150,60,42,-2.2558157434,-2.5526987987
39,180,60,41,-2.330451334,-2.6406873395
40,210,60,42,-2.4523506191,-2.7286758803
41,240,60,42,-2.4032169002,-2.6846816099
42,270,60,43,-2.3777263371,-2.6406873395
43,300,60,42,-2.0838477271,-2.3987188523
44,330,60,53,-1.4870711819,-1.6288191204
45,360,60,66,-0.9173529717,-0.8369222533
46,390,60,61,-0.8459051667,-0.8809165237
47,420,60,51,-0.9241674945,-1.1668792812
48,450,60,62,-0.7307533417,-0.7470792936
49,0,90,44,-2.0967507912,-2.3670294663
50,30,90,41,-2.4287419543,-2.7286758803
51,60,90,39,-2.4553136454,-2.7946672859
52,90,90,42,-2.4277837597,-2.7066787451
53,120,90,44,-2.4013814482,-2.6406873395
54,150,90,43,-2.4022876357,-2.6626844747
55,180,90,42,-2.4277837597,-2.7066787451
56,210,90,42,-2.3786500407,-2.6626844747
57,240,90,42,-2.3786500407,-2.6626844747
58,270,90,43,-2.3531650386,-2.6186902043
59,300,90,43,-2.1812359487,-2.4647102579
60,330,90,49,-1.6612097205,-1.8707876076
61,360,90,56,-0.9952091639,-1.1228850108
62,390,90,53,-0.9231456367,-1.1228850108
63,420,90,53,-1.1438121544,-1.3208592276
64,450,90,61,-0.6746503974,-0.722534594
65,0,120,42,-1.7303032616,-2.0970377708
66,30,120,43,-1.9847455603,-2.2887331764
67,60,120,44,-1.9839299273,-2.2667360412
68,90,120,43,-2.0338681574,-2.3327274468
69,120,120,42,-2.4032169002,-2.6846816099
70,150,120,41,-2.4533146094,-2.7506730155
71,180,120,42,-2.3786500407,-2.6626844747
72,210,120,44,-2.3522695046,-2.5966930691
73,240,120,43,-2.2549198444,-2.5307016635
74,270,120,43,-2.1812359487,-2.4647102579
75,300,120,44,-2.0575978427,-2.3327274468
76,330,120,47,-1.5643934637,-1.8267933372
77,360,120,58,-0.8962385097,-0.9909021996
78,390,120,59,-0.7732666508,-0.8589193885
79,420,120,55,-0.8241080175,-0.9909021996
80,450,120,61,-0.646415398,-0.6979898945
81,0,150,52,-1.0455840431,-1.2625179849
82,30,150,59,-1.1898331888,-1.2328706868
