divipola,municipio,departamento,desercion,vecinos,z,wz,Ii,p_rangos,cuadrante,lisa,lisa_bonferroni,lisa_fdr,gistar_z,gistar_p,gistar
05667,San Rafael,Antioquia,2.95,4,-0.268057687,-0.249661794,0.0669835164,0.32408,Low-Low,1,1,1,-0.5677552314,0.32196,4
05670,San Roque,Antioquia,3.31,7,-0.0642877952,-0.4022870601,0.0258852393,0.14028,Low-Low,1,1,1,-1.0219920919,0.13884,4
05674,San Vicente,Antioquia,2.84,7,-0.3303207095,0.0909654557,-0.0300746022,0.3886,Low-High,1,1,1,0.1087306824,0.38644,4
05679,Santa Bárbara,Antioquia,3.09,7,-0.1888138402,-0.0424553068,0.0080233068,0.47388,Low-Low,1,1,1,-0.1724437198,0.47932,4
05697,El Santuario,Antioquia,3.55,5,0.0715587993,-0.0971173889,-0.0069558087,0.44324,High-Low,1,1,1,-0.1694804514,0.43516,4
05736,Segovia,Antioquia,7.66,6,2.3979317305,0.5989077322,1.4374221226,0.07472,High-High,1,1,1,2.2716316986,0.07412,5
05756,Sonson,Antioquia,3.27,14,-0.0869288943,0.1103721121,-0.0096030922,0.32192,Low-High,1,1,1,0.3790711509,0.32748,4
05761,Sopetrán,Antioquia,3.44,5,0.0092957769,0.3998547361,0.0037202791,0.17776,High-High,1,1,1,0.8221983519,0.17752,4
05789,Támesis,Antioquia,1.41,7,-1.1397400018,-0.5146839449,0.5871296355,0.07644,Low-Low,1,1,1,-1.6827519369,0.07512,3
05790,Tarazá,Antioquia,6.57,5,1.7809617804,1.2002175888,2.1394501732,0.0094,High-High,2,1,1,3.1855450326,0.00988,7
05792,Tarso,Antioquia,1.62,5,-1.0208742316,-0.1412675321,0.1443451479,0.39524,Low-Low,1,1,1,-0.707025971,0.39248,4
05809,Titiribí,Antioquia,2.69,5,-0.415224831,0.0772190741,-0.0320919049,0.40648,Low-High,1,1,1,-0.0119240061,0.41188,4
05842,Uramita,Antioquia,6.73,4,1.8715261768,0.0333519446,0.0624747687,0.44868,High-High,1,1,1,0.8986400662,0.43932,4
05854,Valdivia,Antioquia,3.59,5,0.0941998984,0.4870229676,0.0459184761,0.13588,High-High,1,1,1,1.0353629544,0.13276,4
05856,Valparaíso,Antioquia,1.73,4,-0.9586112091,-0.4449412736,0.4269065188,0.18848,Low-Low,1,1,1,-1.2273794138,0.1864,4
05858,Vegachí,Antioquia,4.44,4,0.575323254,0.7465465659,0.4298890867,0.0706,High-High,1,1,1,1.5963194899,0.07616,5
05861,Venecia,Antioquia,4.24,6,0.4621177586,-0.1124001307,-0.0519884734,0.4124,High-Low,1,1,1,-0.0804871334,0.40576,4
05885,Yalí,Antioquia,3.55,3,0.0715587993,0.6715479252,0.0480980696,0.12316,High-High,1,1,1,1.0449673019,0.11976,4
