lado,n,rho,potencia
5,25,0,0.063
5,25,0.1,0.092
5,25,0.2,0.185
5,25,0.3,0.292
5,25,0.4,0.444
5,25,0.5,0.617
5,25,0.6,0.75
5,25,0.7,0.854
5,25,0.8,0.939
5,25,0.9,0.97
7,49,0,0.059
7,49,0.1,0.123
7,49,0.2,0.279
7,49,0.3,0.448
7,49,0.4,0.693
7,49,0.5,0.837
7,49,0.6,0.94
7,49,0.7,0.992
7,49,0.8,1
7,49,0.9,1
10,100,0,0.046
10,100,0.1,0.177
10,100,0.2,0.409
10,100,0.3,0.726
10,100,0.4,0.915
10,100,0.5,0.976
10,100,0.6,0.998
10,100,0.7,1
10,100,0.8,1
10,100,0.9,1
20,400,0,0.055
20,400,0.1,0.414
20,400,0.2,0.888
20,400,0.3,0.998
20,400,0.4,1
20,400,0.5,1
20,400,0.6,1
20,400,0.7,1
20,400,0.8,1
20,400,0.9,1
