"dpto","nombre","desercion"
"17","Caldas",3.5455555556
"91","Amazonas",3.67
"50","Meta",5.2282758621
"25","Cundinamarca",3.1106896552
"73","Tolima",3.159787234
"05","Antioquia",3.61416
"08","Atlántico",2.5456521739
"13","Bolívar",3.4797826087
"20","Cesar",5.3812
"47","Magdalena",3.0026666667
"70","Sucre",3.1111538462
"23","Córdoba",3.6486666667
"44","La Guajira",3.294
"27","Chocó",2.6356666667
"76","Valle del Cauca",5.6873809524
"54","Norte de Santander",3.48575
"63","Quindío",4.1883333333
"99","Vichada",6.3525
"97","Vaupés",4.1366666667
"68","Santander",2.7465517241
"66","Risaralda",5.3071428571
"86","Putumayo",5.9238461538
"52","Nariño",1.99578125
"95","Guaviare",4.6875
"94","Guainía",3.915
"11","Bogota Capital District",2.49
"81","Arauca",4.9642857143
"15","Boyacá",2.1629268293
"85","Casanare",4.27
"19","Cauca",3.179047619
"18","Caquetá",6.733125
"41","Huila",4.0810810811
"88","Archipiélago de San Andrés, Providencia y Santa Catalina",1.71
